year,month,soi
1866,1,-0.62
1866,2,-0.12
1866,3,-0.62
1866,4,-0.65
1866,5,0.04
1866,6,-0.82
1866,7,-0.34
1866,8,0.36
1866,9,-0.18
1866,10,0.07
1866,11,1.1
1866,12,-0.16
1867,1,0.09
1867,2,-0.01
1867,3,-0.09
1867,4,0.83
1867,5,0.5
1867,6,-0.48
1867,7,0.44
1867,8,0.34
1867,9,0.12
1867,10,-0.56
1867,11,-0.65
1867,12,-0.89
1868,1,-0.16
1868,2,-0.34
1868,3,-1.56
1868,4,0.3
1868,5,-1.34
1868,6,-2.2
1868,7,-0.4
1868,8,-1.41
1868,9,-1.23
1868,10,-1.24
1868,11,-1.49
1868,12,0.52
1869,1,-1.9
1869,2,-0.26
1869,3,-0.59
1869,4,2.12
1869,5,1.4
1869,6,1.53
1869,7,1.42
1869,8,0.94
1869,9,0.12
1869,10,0.85
1869,11,0.56
1869,12,0.42
1870,1,1.06
1870,2,0.18
1870,3,-0.75
1870,4,0.47
1870,5,-0.11
1870,6,-1.1
1870,7,0.17
1870,8,0.98
1870,9,0
1870,10,-0.58
1870,11,-0.86
1870,12,-1.29
1871,1,-1.13
1871,2,-0.13
1871,3,-2
1871,4,-0.46
1871,5,-0.47
1871,6,0.24
1871,7,0.31
1871,8,0.38
1871,9,0.58
1871,10,-0.14
1871,11,-0.02
1871,12,0.97
1872,1,2.69
1872,2,1.12
1872,3,1.69
1872,4,-0.54
1872,5,1.35
1872,6,2.45
1872,7,2.3
1872,8,0.99
1872,9,3.14
1872,10,1.9
1872,11,3.09
1872,12,2.8
1873,1,2.47
1873,2,1.12
1873,3,1.63
1873,4,2.29
1873,5,1.19
1873,6,-3.09
1873,7,-1.14
1873,8,-0.59
1873,9,-2.13
1873,10,-1.78
1873,11,-0.36
1873,12,1.33
1874,1,0.9
1874,2,-0.28
1874,3,-0.52
1874,4,0.98
1874,5,1.29
1874,6,-1.92
1874,7,-0.14
1874,8,0.75
1874,9,2.03
1874,10,2.19
1874,11,0.53
1874,12,1.28
1875,1,0.65
1875,2,-0.11
1875,3,-1
1875,4,1.4
1875,5,0.75
1875,6,2.57
1875,7,-0.49
1875,8,-0.21
1875,9,0.83
1875,10,0.93
1875,11,-1.54
1875,12,-0.54
1876,1,1.16
1876,2,0.98
1876,3,-0.1
1876,4,0.94
1876,5,0.75
1876,6,1.98
1876,7,-0.51
1876,8,1.08
1876,9,0.98
1876,10,-1
1876,11,-0.46
1876,12,-0.45
1877,1,-0.88
1877,2,-1.44
1877,3,-1.07
1877,4,-3.87
1877,5,-1.71
1877,6,-4.34
1877,7,-0.96
1877,8,-1.06
1877,9,-1.71
1877,10,-1.7
1877,11,-1.31
1877,12,-1.52
1878,1,-0.98
1878,2,-2.22
1878,3,-1.86
1878,4,-1.07
1878,5,0.1
1878,6,-0.59
1878,7,1.6
1878,8,1.12
1878,9,1.7
1878,10,0.94
1878,11,1.39
1878,12,1.89
1879,1,1.28
1879,2,1.33
1879,3,1.3
1879,4,1.59
1879,5,0.1
1879,6,1.85
1879,7,2.19
1879,8,2.2
1879,9,1.8
1879,10,1.53
1879,11,0.76
1879,12,-0.71
1880,1,1.14
1880,2,0.7
1880,3,1.43
1880,4,0.79
1880,5,1.22
1880,6,0.97
1880,7,0.21
1880,8,1.26
1880,9,0.73
1880,10,0.56
1880,11,0.74
1880,12,-0.33
1881,1,-0.84
1881,2,-0.67
1881,3,0.02
1881,4,0.43
1881,5,-0.56
1881,6,-0.78
1881,7,-0.51
1881,8,-1.39
1881,9,-1.35
1881,10,-2.6
1881,11,0.49
1881,12,0.7
1882,1,-0.76
1882,2,-0.26
1882,3,0.41
1882,4,-0.06
1882,5,0.35
1882,6,-1.75
1882,7,-2.13
1882,8,-2.74
1882,9,-1.44
1882,10,-0.09
1882,11,0.21
1882,12,1.04
1883,1,0.48
1883,2,-0.95
1883,3,-2.94
1883,4,1.63
1883,5,1.47
1883,6,0.26
1883,7,-1.01
1883,8,0.06
1883,9,-0.81
1883,10,0.36
1883,11,0.19
1883,12,-1.77
1884,1,-1.4
1884,2,-0.61
1884,3,0.88
1884,4,-1.6
1884,5,0.18
1884,6,0.98
1884,7,-0.28
1884,8,-0.63
1884,9,-0.7
1884,10,0.38
1884,11,-0.26
1884,12,-1.5
1885,1,-1.78
1885,2,0.04
1885,3,0.39
1885,4,0.16
1885,5,0.01
1885,6,-1.91
1885,7,-0.45
1885,8,-1.13
1885,9,-0.43
1885,10,-1.92
1885,11,-1.55
1885,12,0.47
1886,1,-0.22
1886,2,0
1886,3,0.15
1886,4,0.49
1886,5,0.54
1886,6,0.43
1886,7,0.74
1886,8,1.33
1886,9,1.28
1886,10,1.3
1886,11,0.88
1886,12,1.51
1887,1,1.2
1887,2,0.95
1887,3,0.95
1887,4,1
1887,5,-0.58
1887,6,0.46
1887,7,0.53
1887,8,0.33
1887,9,0.45
1887,10,0.51
1887,11,-0.63
1887,12,0.45
1888,1,-0.32
1888,2,-0.33
1888,3,-1.47
1888,4,-2.8
1888,5,-1.12
1888,6,-2.16
1888,7,-1.64
1888,8,-1.09
1888,9,-0.94
1888,10,-1.61
1888,11,-1.37
1888,12,-0.4
1889,1,-2.84
1889,2,-0.21
1889,3,-3.2
1889,4,0.07
1889,5,-0.19
1889,6,2.49
1889,7,0.18
1889,8,0.05
1889,9,1.05
1889,10,0.29
1889,11,1.92
1889,12,2.35
1890,1,2.16
1890,2,1.03
1890,3,1.43
1890,4,0.75
1890,5,0.35
1890,6,0.45
1890,7,-0.23
1890,8,-0.42
1890,9,0.88
1890,10,0.17
1890,11,0.16
1890,12,-0.04
1891,1,1.56
1891,2,-0.49
1891,3,-1.22
1891,4,0.7
1891,5,0.28
1891,6,-0.28
1891,7,-0.58
1891,8,-1.2
1891,9,-1.08
1891,10,0.05
1891,11,-0.49
1891,12,-0.62
1892,1,0.2
1892,2,-1.13
1892,3,1.09
1892,4,0.96
1892,5,1.37
1892,6,2.25
1892,7,0.78
1892,8,0.48
1892,9,0.01
1892,10,0.85
1892,11,-0.88
1892,12,0.3
1893,1,0.91
1893,2,0.65
1893,3,0.32
1893,4,1.44
1893,5,1.76
1893,6,2.15
1893,7,1.88
1893,8,0.6
1893,9,1.21
1893,10,0.63
1893,11,0.83
1893,12,-0.5
1894,1,2.15
1894,2,0.97
1894,3,0.82
1894,4,1.1
1894,5,-0.86
1894,6,-0.01
1894,7,0.47
1894,8,-1.4
1894,9,-0.24
1894,10,0.31
1894,11,-0.89
1894,12,0.07
1895,1,0.54
1895,2,0.62
1895,3,-0.26
1895,4,1.34
1895,5,0.65
1895,6,-1.26
1895,7,-0.75
1895,8,-1.02
1895,9,-0.52
1895,10,-0.82
1895,11,-0.47
1895,12,-1
1896,1,0.07
1896,2,0.37
1896,3,-0.84
1896,4,-1.19
1896,5,-3.23
1896,6,-2.99
1896,7,-1.39
1896,8,-2.55
1896,9,-1.88
1896,10,-2.01
1896,11,-1.26
1896,12,-1.69
1897,1,-1.42
1897,2,-0.86
1897,3,-2.01
1897,4,-2
1897,5,-1.59
1897,6,-0.16
1897,7,-0.19
1897,8,-0.11
1897,9,0
1897,10,0.1
1897,11,-0.96
1897,12,1.04
1898,1,0.65
1898,2,0.47
1898,3,2.02
1898,4,1.34
1898,5,-0.11
1898,6,-0.51
1898,7,0.65
1898,8,0.72
1898,9,0.88
1898,10,0.34
1898,11,0.02
1898,12,0.42
1899,1,1.31
1899,2,0.87
1899,3,1.38
1899,4,0.49
1899,5,-0.76
1899,6,-1.43
1899,7,-0.53
1899,8,-1.18
1899,9,-0.19
1899,10,0.74
1899,11,1.66
1899,12,-0.44
1900,1,-0.89
1900,2,-0.73
1900,3,-2.95
1900,4,-2.1
1900,5,-0.76
1900,6,3.1
1900,7,1.02
1900,8,0.75
1900,9,-1.61
1900,10,-2.13
1900,11,-0.75
1900,12,-0.73
1901,1,-0.09
1901,2,0.21
1901,3,0.88
1901,4,0.64
1901,5,0.08
1901,6,2.3
1901,7,1.51
1901,8,0.8
1901,9,-1.58
1901,10,-2.69
1901,11,-0.95
1901,12,-0.32
1902,1,1.68
1902,2,-0.28
1902,3,1.1
1902,4,1.15
1902,5,1.41
1902,6,0.24
1902,7,0.21
1902,8,-1.09
1902,9,-1.76
1902,10,-0.77
1902,11,-0.26
1902,12,-0.45
1903,1,-1.1
1903,2,-1.11
1903,3,1.8
1903,4,2.18
1903,5,0.92
1903,6,-0.22
1903,7,0.6
1903,8,-0.15
1903,9,0.81
1903,10,0.3
1903,11,-0.05
1903,12,1.66
1904,1,1.39
1904,2,1.53
1904,3,0.89
1904,4,3.64
1904,5,1
1904,6,-1.01
1904,7,-0.87
1904,8,-0.11
1904,9,-0.01
1904,10,-0.11
1904,11,-1.81
1904,12,0.18
1905,1,-1.08
1905,2,-1.84
1905,3,-3.51
1905,4,-3.05
1905,5,-1.68
1905,6,-2.29
1905,7,-2.11
1905,8,-0.96
1905,9,-0.7
1905,10,-0.83
1905,11,-1.81
1905,12,-1.57
1906,1,-0.43
1906,2,-0.88
1906,3,-0.56
1906,4,-0.84
1906,5,-1.03
1906,6,-0.71
1906,7,0.68
1906,8,1.43
1906,9,1.75
1906,10,0.81
1906,11,1.95
1906,12,0.3
1907,1,0.56
1907,2,-0.23
1907,3,-0.32
1907,4,-0.84
1907,5,-0.57
1907,6,0.45
1907,7,-0.03
1907,8,-1.05
1907,9,-0.07
1907,10,-0.43
1907,11,-0.58
1907,12,0.65
1908,1,-0.99
1908,2,0.84
1908,3,-0.41
1908,4,1.02
1908,5,0.18
1908,6,-0.63
1908,7,1.43
1908,8,0.2
1908,9,1.67
1908,10,0.72
1908,11,0.09
1908,12,-0.71
1909,1,-0.3
1909,2,-0.4
1909,3,-0.15
1909,4,-1.78
1909,5,0.07
1909,6,2.63
1909,7,1.08
1909,8,0.89
1909,9,0.06
1909,10,0.2
1909,11,0.74
1909,12,0.41
1910,1,0.6
1910,2,1.42
1910,3,1.25
1910,4,0.39
1910,5,0.09
1910,6,2.49
1910,7,2.07
1910,8,0.89
1910,9,1.46
1910,10,1.04
1910,11,1.74
1910,12,1.66
1911,1,0.3
1911,2,0.01
1911,3,0.22
1911,4,0.05
1911,5,-0.74
1911,6,-1.55
1911,7,-1.26
1911,8,-1.41
1911,9,-0.88
1911,10,-1.3
1911,11,-0.81
1911,12,-0.27
1912,1,-1.11
1912,2,-1.83
1912,3,-1.14
1912,4,-2.27
1912,5,-1.12
1912,6,-0.99
1912,7,-0.05
1912,8,-0.94
1912,9,-0.4
1912,10,-0.97
1912,11,0.12
1912,12,-1.01
1913,1,-0.41
1913,2,-0.63
1913,3,0.01
1913,4,-0.79
1913,5,-0.56
1913,6,-0.6
1913,7,-0.12
1913,8,-0.92
1913,9,-0.95
1913,10,-1.02
1913,11,-1.25
1913,12,-0.89
1914,1,-0.74
1914,2,0.18
1914,3,0.88
1914,4,-2.27
1914,5,-1.21
1914,6,-2.64
1914,7,-0.97
1914,8,-1.84
1914,9,-1.47
1914,10,-0.73
1914,11,-0.47
1914,12,0.17
1915,1,-2.71
1915,2,-0.59
1915,3,-2.49
1915,4,-1.49
1915,5,1.22
1915,6,2.68
1915,7,2.53
1915,8,1.3
1915,9,1.34
1915,10,0.95
1915,11,-1.74
1915,12,0.99
1916,1,0.56
1916,2,-0.52
1916,3,-0.83
1916,4,0.01
1916,5,0.43
1916,6,0.75
1916,7,2.57
1916,8,1.51
1916,9,0.42
1916,10,0.36
1916,11,0.77
1916,12,1.62
1917,1,0.46
1917,2,0.98
1917,3,1.86
1917,4,2.58
1917,5,2.4
1917,6,2.39
1917,7,2.83
1917,8,3.48
1917,9,2.84
1917,10,1.51
1917,11,1.93
1917,12,2.4
1918,1,1.46
1918,2,1.58
1918,3,-0.39
1918,4,2.07
1918,5,1.09
1918,6,-0.78
1918,7,-1.38
1918,8,-0.64
1918,9,-0.85
1918,10,-0.62
1918,11,0.02
1918,12,-1
1919,1,-1.62
1919,2,-1.19
1919,3,-1.57
1919,4,-0.37
1919,5,-0.96
1919,6,-1.46
1919,7,-0.87
1919,8,-0.9
1919,9,-0.59
1919,10,-1.25
1919,11,-1.23
1919,12,-1.12
1920,1,0.18
1920,2,-0.29
1920,3,-0.63
1920,4,-0.1
1920,5,-0.4
1920,6,0.4
1920,7,0.92
1920,8,0.44
1920,9,0.47
1920,10,-0.69
1920,11,-0.19
1920,12,0.99
1921,1,1.09
1921,2,0.58
1921,3,1.07
1921,4,-1.28
1921,5,-0.01
1921,6,4.07
1921,7,0.29
1921,8,-0.88
1921,9,0.46
1921,10,0.97
1921,11,0.76
1921,12,0.81
1922,1,0.78
1922,2,0.77
1922,3,0.48
1922,4,-0.69
1922,5,-0.76
1922,6,0.45
1922,7,0.23
1922,8,-0.28
1922,9,0.46
1922,10,0.55
1922,11,0.76
1922,12,1.21
1923,1,0.56
1923,2,0.34
1923,3,0.84
1923,4,0.81
1923,5,-0.01
1923,6,-0.17
1923,7,-1.11
1923,8,-2.14
1923,9,-1.46
1923,10,-0.72
1923,11,-1.41
1923,12,0.13
1924,1,-0.68
