"water_yr","yearly_ppt_mm","yearly_maxt","yearly_mint","yearly_vpd","summer_ppt_mm","summer_maxt","summer_vpd","winter_ppt_mm","winter_maxt","winter_vpd"
1915,190.76,23.9600937899106,6.1026101532567,26.1944444444444,123.44,32.5534944581281,35.898,67.32,15.3666931216931,14.065
1916,141.98,26.0500767491897,6.35852803007975,26.9958333333333,102.36,32.0662345062345,37.688,39.62,21.7528212084434,19.3585714285714
1917,166.61,22.3442949099618,4.42373781455482,24.5925,70.59,30.0390017825312,35.392,96.02,16.8480757152694,16.8785714285714
1918,144.52,NA,NA,27.24,115.57,NA,38.592,28.95,NA,19.1314285714286
1919,362.2,22.0872786157789,3.99808926289436,23.2866666666667,218.18,31.372845034914,34.538,144.02,14.3493065998329,15.25
1920,292.63,25.6937007437007,4.92822455322455,24.0075,207.53,32.6720246420246,35.598,85.1,20.7091836734694,15.7285714285714
1921,191.53,NA,NA,25.4233333333333,114.05,NA,35.87,77.48,19.4156653931099,17.9614285714286
1922,114.05,NA,NA,27.6166666666667,83.57,34.5509677419355,41.17,30.48,NA,17.9357142857143
1923,252.72,22.0978510071858,6.62464155062211,23.82,116.85,31.5658183039298,36.71,135.87,15.3350172237972,14.6128571428571
1924,187.17,24.3065692393607,4.74019233504449,26.4333333333333,105.91,34.2270353302611,42.66,81.26,17.2205220315747,14.8428571428571
1925,152.17,25.634965437788,4.36667306707629,28.3583333333333,120.42,33.2868817204301,39.722,31.75,20.1693109501865,20.2414285714286
1926,387.33,23.8940220174091,4.81681387608807,24.9725,279.9,32.5789247311828,37.834,107.43,17.6905200789993,15.7857142857143
1927,290.6,25.1488106875204,5.78167039054136,26.8991666666667,162.83,33.0233822091887,39.03,127.77,19.5241167434716,18.2342857142857
1928,169.66,24.9984983314794,4.43351872450871,27.2916666666667,132.83,32.7178791249537,38.842,36.83,19.4846549075693,19.0414285714286
1929,323.34,NA,NA,25.36,213.36,NA,36.286,109.98,18.7442835198596,17.5557142857143
1930,151.42,NA,NA,26.5991666666667,90.71,32.6554838709677,39.372,60.71,NA,17.4757142857143
1931,290.3,23.318363357073,5.20267420751292,25.4325,134.34,32.7524193548387,38.662,155.96,17.9274742154926,15.9828571428571
1932,323.1,NA,NA,26.3391666666667,212.87,NA,38.782,110.23,NA,17.4514285714286
1933,267.21,NA,NA,26.0525,188.48,32.3854838709677,39.528,78.73,NA,16.4271428571429
1934,113.52,26.7503328213006,5.51814516129032,30.8216666666667,78.73,34.161935483871,44.022,34.79,21.4563309194646,21.3928571428571
1935,270.73,24.4647273425499,6.53597670250896,25.9375,218.43,31.0909677419355,35.73,52.3,19.7316984858459,18.9428571428571
1936,241.29,24.2630329996292,6.16660177975528,26.0533333333333,162.3,31.7032258064516,37.106,78.99,18.9486095661847,18.1585714285714
1937,229.9,NA,NA,25.4291666666667,150.4,NA,39.254,79.5,16.7888962036427,15.5542857142857
1938,319,NA,NA,24.7125,252.73,30.9748387096774,35.278,66.27,NA,17.1657142857143
1939,196.33,24.5111632990665,4.36924603174603,27.3216666666667,112,32.8712158808933,40.346,84.33,18.5396971691903,18.0185714285714
1940,282.18,24.4384192312446,5.10037078235076,26.6433333333333,180.32,32.174623655914,38.534,101.86,18.9125589279093,18.15
1941,430.53,22.6283681603899,6.68071556579621,22.525,250.72,30.6734000741565,33.11,179.81,16.8819167934137,14.9642857142857
1942,251.73,24.1171590568003,5.44995206313894,25.8116666666667,126.24,32.6565591397849,39.484,125.49,18.0175875689542,16.0457142857143
1943,197.84,26.248956580436,6.46688185285238,29.375,145.78,33.3756989247312,41.738,52.06,21.1584263345109,20.5442857142857
1944,227.81,24.2661290322581,4.1419663824002,26.2866666666667,126.71,32.4359139784946,38.772,101.1,18.4305683563748,17.3685714285714
1945,153.15,24.9706285202253,4.89186507936508,28.0316666666667,55.12,33.2122580645161,41.916,98.03,19.0837502743033,18.1142857142857
1946,276.86,25.1121991807476,5.15648692550806,27.6825,202.18,33.0258064516129,39.484,74.68,19.4596225587009,19.2528571428571
1947,183.89,24.9960648515988,5.2068612391193,27.2175,111.75,33.4840860215054,41.172,72.14,18.9331925873798,17.25
1948,166.654,NA,NA,28.6141666666667,73.174,36.0413306451613,43.594,93.48,NA,17.9142857142857
1949,286.49,23.7489154493627,5.42075899011383,25.6966666666667,157.47,32.7687718864582,38.85,129.02,17.3061608514373,16.3014285714286
1950,203.45,25.5184119921606,5.1215565796211,28.4158333333333,150.87,32.7330367074527,40.208,52.58,20.3651086240948,19.9928571428571
1951,118.87,25.520451054322,4.40342130987292,31.4633333333333,35.57,34.444623655914,46.984,83.3,20.4209238534123,20.3771428571429
1952,205.47,24.9942745025337,5.99096835990607,28.08,128.5,33.881453466815,42.868,76.97,18.646289528047,17.5171428571429
1953,88.39,25.793081338473,4.37305366625824,30.1983333333333,35.55,34.0477636527358,45.086,52.84,19.8968796854281,19.5642857142857
1954,137.93,25.8284589554728,5.91069654113036,28.9175,123.71,33.4094006568144,40.322,14.22,20.4135005973716,20.7714285714286
1955,202.71,24.7844704371002,4.51181437144544,26.7341666666667,111.01,32.3893387356501,37.402,91.7,19.3524216524217,19.1142857142857
1956,123.94,26.0744283772092,3.34378321591892,30.765,74.16,34.3180867630701,45.256,49.78,20.1861009587372,20.4142857142857
1957,201.13,25.3140722692076,5.03191575295302,28.1675,161.27,32.5247015202076,40.062,39.86,20.1636228042076,19.6714285714286
1958,358.09,24.6718143616364,4.52144313787807,27.655,190.48,34.204930875576,43.554,167.61,17.8624454231081,16.2985714285714
1959,261.35,25.81356555936,2.8984104913749,28.3141666666667,201.4,33.5168058608059,40.9,59.95,20.3112510583272,19.3242857142857
1960,129.56,25.8179017600988,NA,28.4341666666667,88.65,34.3415185185185,41.122,40.91,19.7296040755133,19.3714285714286
1961,334.49,24.976717709868,2.8742633735025,27.325,247.37,33.0910722495895,40.602,87.12,19.1807501814955,17.8414285714286
1962,385.32,25.3683628904643,2.0533989233586,26.9325,290.33,33.085622268231,39.068,94.99,19.8560347634882,18.2642857142857
1963,177.04,25.063108502343,-1.08003526208924,28.2891666666667,96.52,33.2155021173624,40.456,80.52,20.404597865189,19.5985714285714
1964,227.84,25.3359053642563,NA,29.0283333333333,184.42,33.2234408602151,41.776,43.42,19.7019514385715,19.9228571428571
1965,129.02,25.4138205197623,4.46208088352137,28.88,85.08,33.2670257958578,41.328,43.94,19.8043881796941,19.9885714285714
1966,205.73,25.3930708331617,5.06418683899218,28.7675,124.45,33.4271931776047,41.09,81.28,19.6544120157023,19.9657142857143
1967,170.69,25.5364310089792,4.95694400303688,29.7291666666667,150.62,32.3616232027356,40.088,20.07,20.6612937277247,22.33
1968,255.52,24.5053695701777,4.96141439205955,26.63,134.11,32.7179073614558,38.652,121.41,18.6392711478362,18.0428571428571
1969,228.35,25.472677313417,4.98019933965429,29.4158333333333,161.29,33.6187096774194,42.618,67.06,19.6540827677011,19.9857142857143
1970,193.56,24.656924231144,4.54099532949644,27.0383333333333,102.62,32.8128400207711,40.086,90.94,18.8312700956961,17.7185714285714
1971,157.22,24.8695425701981,3.81894758429094,28.1816666666667,110.99,32.5450737995058,39.94,46.23,19.3870202635497,19.7828571428571
1972,323.61,24.6452079814334,5.1136235048545,26.86,224.54,31.6365517241379,36.648,99.07,19.6513910223588,19.8685714285714
1973,325.38,23.3054474597485,4.10984525231837,25.4475,143.51,32.3477419354839,39.912,181.87,16.8466656913662,15.1157142857143
1974,290.33,25.5161692003461,3.67673627663895,29.2058333333333,263.15,32.1953652206155,39.282,27.18,20.7453149001536,22.0085714285714
1975,312.96,23.5903737839222,4.00044162826421,25.9641666666667,165.37,32.014623655914,39.224,147.59,17.5730524467852,16.4928571428571
1976,259.83,25.0692844342038,3.95743087557604,27.9058333333333,197.1,32.2494623655914,38.426,62.73,19.9405859117841,20.3914285714286
1977,201.4,24.530576233802,3.57520630710286,27.8116666666667,111.22,33.8058064516129,42.884,90.18,17.9054117925086,17.0457142857143
1978,288.796,26.3570767941736,6.15666132162239,29.1916666666667,216.92,32.7988254755997,41.648,71.876,20.9889528929852,20.2942857142857
1979,346.176,22.9712496809827,3.62223385933063,25.36,163.816,32.3915090841676,38.062,182.36,17.5882443077342,16.2871428571429
1980,221.75,25.0846059198597,3.23333281835785,29.0525,131.07,33.779091995221,44.024,90.68,18.874258723173,18.3585714285714
1981,266.19,24.7746793909753,4.40474525388782,27.2075,212.34,32.4662365591398,39.264,53.85,19.2807099851435,18.5957142857143
1982,259.07,25.1871037930002,4.93841949459645,28.1641666666667,210.06,32.471884057971,39.94,49.01,19.9836893180211,19.7528571428571
1983,236.73,23.3147803341767,4.1479309420901,25.8908333333333,108.48,32.6245161290323,40.126,128.25,16.664969052137,15.7228571428571
1984,451.35,25.4175953079179,6.06568914956012,25.6558333333333,353.82,32.6466666666667,37.178,97.53,19.3933691756272,17.4257142857143
