"quadrat","date_estimate","date_lowerbound","date_upperbound"
"A1",1958-03-01,1957-08-15,1958-09-15
"A2",1958-03-01,1936-10-15,1937-10-15
"A3",1915-06-15,1915-06-15,1963-03-15
"A4",1948-09-15,1935-06-15,1961-12-15
"A5",1956-12-15,1955-09-15,1957-12-15
"AR1",1963-03-15,1959-06-15,1966-12-15
"AR2",1956-03-15,1950-03-15,1962-03-15
"AR3",1957-09-15,1945-09-15,1969-06-15
"AR4",NA,1972-06-15,NA
"AR5",1958-03-01,1955-09-15,1957-08-15
"AR6",1950-09-15,1945-12-15,1955-06-15
"B1",1958-03-01,1952-09-15,1956-08-15
"B2",1955-03-15,1953-03-15,1957-03-15
"B2A",1949-01-15,1946-01-15,1952-01-15
"B3",1963-06-15,1954-06-15,1972-06-15
"B4",1958-03-01,1956-08-15,1958-09-15
"B5",1957-12-15,1942-03-15,1973-09-15
"G1",1915-06-15,1915-06-15,1915-06-15
"G2",1964-09-15,1956-09-15,1972-09-15
"G3",1954-06-15,1949-06-15,1959-06-15
"G4",1958-03-01,1952-09-15,1958-09-15
"G5",1948-03-15,1938-12-15,1957-03-15
"G6",1957-12-15,1954-12-15,1960-12-15
"H1",1954-06-15,1947-03-15,1961-12-15
"H2",1948-03-15,1938-09-15,1957-09-15
"H3",1960-06-15,1956-09-15,1964-06-15
"I1",NA,1915-06-15,NA
"I2",1951-09-15,1950-03-15,1952-12-15
"I3",1915-06-15,1915-06-15,1915-06-15
"I4",1948-01-15,1938-04-15,1957-10-15
"I5",1957-10-15,1952-04-15,1963-04-15
"I6",1958-03-01,1952-09-15,1957-08-15
"I7",1958-03-01,1952-09-15,1956-08-15
"J1",1957-01-15,1954-10-15,1959-04-15
"J12",1958-03-01,1951-08-15,1952-09-15
"J22",1941-02-15,1935-08-15,1946-08-15
"J8",1958-05-15,1952-08-15,1964-02-15
"J9",1948-05-15,1942-05-15,1954-05-15
"K1",1925-02-15,1916-11-15,1933-02-15
"K2",NA,1916-06-15,NA
"K3",1953-06-15,1951-09-15,1955-03-15
"K4",1916-06-15,1916-06-15,NA
"L1",1949-04-15,1948-01-15,1950-04-15
"L2",1958-03-01,1951-08-15,1952-10-15
"L3",1916-09-15,1916-09-15,1916-09-15
"L4",1916-09-15,1916-09-15,NA
"L5",1930-11-15,1926-11-15,NA
"M5",1926-05-15,1922-08-15,1929-11-15
"M6",1970-11-15,1954-08-15,NA
"N1",1950-05-15,1941-08-15,1959-05-15
"N3",1958-11-15,1953-08-15,1964-05-15
"N3A",1958-04-15,1953-04-15,1963-01-15
"N4",1968-05-15,1965-05-15,1971-05-15
"N5",1958-03-01,1960-08-15,1965-09-15
"N6",1959-11-15,1956-05-15,1963-05-15
"P1",1957-10-15,1956-01-15,1959-07-15
"P2",1958-03-01,1949-08-15,1960-08-15
"P3",1958-03-01,1949-08-15,1968-08-15
"P4",1958-03-01,1960-08-15,1972-08-15
"P5",NA,1927-08-15,NA
"R1",1958-02-15,1954-08-15,1961-05-15
"R2",1952-12-15,1945-09-15,1960-06-15
"R3",1958-03-01,1952-09-15,1956-08-15
"R4",1961-03-15,1956-12-15,1965-06-15
"T1",1938-07-15,1935-10-15,1941-04-15
"T10",1958-03-01,1944-02-15,1968-08-15
"T11",1958-03-01,1944-02-15,1968-08-15
"T2",1958-03-01,1943-04-15,1973-08-15
"T3",1958-03-01,1943-04-15,1973-08-15
"T4",1945-01-15,1938-01-15,1951-10-15
"T5",1958-03-01,1943-04-15,1968-08-15
"T6",1942-10-15,1938-01-15,1947-04-15
"T7",1958-03-01,1944-02-15,1957-08-15
"T8",1959-03-15,1951-06-15,1966-09-15
"T9",1961-06-15,1952-06-15,1970-06-15
"U1",1958-03-01,1951-08-15,1952-09-15
"U2",1955-05-15,1953-05-15,1957-05-15
"U3",1958-03-01,1951-08-15,1952-09-15
"U4",1969-05-15,1956-11-15,NA
"U5",1956-11-15,1952-05-15,1961-05-15
"V1",1927-09-15,1927-09-15,1940-06-15
"V2",1958-03-01,1952-09-15,1956-08-15
"V3",1958-03-01,1934-10-15,1935-06-15
"V4",1928-08-15,1927-08-15,1950-05-15
"V5",1935-02-15,1927-08-15,1950-11-15
"V6",1935-11-15,1935-05-15,1936-02-15
"Y1",1972-09-15,1970-06-15,1974-09-15
"Y2",1958-03-01,1970-08-15,1971-08-15
"Y3",1919-05-15,1919-05-15,NA
"Y7",1933-11-15,1924-11-15,1942-11-15
