"quadrat","project_year.x","richness_1928","project_year.y","richness_2016","mean","shrubland","sprich_change"
"A1",1928,5,2016,1,0.221585052,"shrub_encroached",-4
"A2",1928,5,2016,2,0.298269271333333,"shrub_encroached",-3
"A3",1928,3,2016,2,0.189766457,"shrub_encroached",-1
"A4",1928,4,2016,3,0.264955322333333,"shrub_encroached",-1
"A5",1928,3,2016,2,0.271708184666667,"shrub_encroached",-1
"AR1",1928,3,2016,0,0.219283295666667,"shrub_encroached",-3
"AR2",1928,4,2016,0,0.350523936333333,"shrub_encroached",-4
"AR3",1928,2,2016,0,0.228582997666667,"shrub_encroached",-2
"AR4",1928,6,2016,1,0.351511728333333,"shrub_encroached",-5
"AR5",1928,4,2016,1,0.561580837333333,"shrub_encroached",-3
"AR6",1928,3,2016,1,0.524513918,"shrub_encroached",-2
"B1",1928,3,2016,2,0.101333612666667,"not_shrub_encroached",-1
"B2",1928,3,2016,3,0.0894412976666667,"not_shrub_encroached",0
"B2A",1928,2,2016,5,0.106572214333333,"not_shrub_encroached",3
"B3",1928,3,2016,1,0.078156185,"not_shrub_encroached",-2
"B4",1928,4,2016,3,0.137949865666667,"not_shrub_encroached",-1
"B5",1928,3,2016,2,0.284102691,"shrub_encroached",-1
"G1",1928,4,2016,2,0.137585797333333,"not_shrub_encroached",-2
"G2",1928,3,2016,4,0.141764909666667,"not_shrub_encroached",1
"G3",1928,3,2016,0,0.266865852333333,"shrub_encroached",-3
"G4",1928,3,2016,1,0.124443031666667,"not_shrub_encroached",-2
"G5",1928,4,2016,0,0.295394868,"shrub_encroached",-4
"G6",1928,2,2016,2,0.185594155,"shrub_encroached",0
"H1",1928,7,2016,6,0.0256689923333333,"not_shrub_encroached",-1
"H2",1928,5,2016,2,0.055358302,"not_shrub_encroached",-3
"H3",1928,3,2016,7,0.022361482,"not_shrub_encroached",4
"I1",1928,5,2016,1,0.0520838733333333,"not_shrub_encroached",-4
"I2",1928,3,2016,4,0.015984941,"not_shrub_encroached",1
"I3",1928,3,2016,2,0.00747182733333333,"not_shrub_encroached",-1
"I4",1928,3,2016,1,0.173300773,"shrub_encroached",-2
"I7",1928,2,2016,5,0.226107823,"shrub_encroached",3
"J1",1928,2,2016,0,0.168588946,"shrub_encroached",-2
"J12",1928,1,2016,0,0.228569484,"shrub_encroached",-1
"J22",1928,7,2016,3,0.00636942666666667,"not_shrub_encroached",-4
"J8",1928,2,2016,2,0.019320375,"not_shrub_encroached",0
"J9",1928,4,2016,1,0.0139753913333333,"not_shrub_encroached",-3
"K1",1928,6,2016,2,0.0128274053333333,"not_shrub_encroached",-4
"K3",1928,4,2016,1,0.119791548333333,"not_shrub_encroached",-3
"K4",1928,4,2016,0,0.331697334666667,"shrub_encroached",-4
"L1",1928,9,2016,3,0.0644403086666667,"not_shrub_encroached",-6
"L2",1928,4,2016,2,0.141800808,"not_shrub_encroached",-2
"L4",1928,3,2016,2,0.001068376,"not_shrub_encroached",-1
"L5",1928,1,2016,1,0.01288944,"not_shrub_encroached",0
"N1",1928,2,2016,5,0.015923567,"not_shrub_encroached",3
"N3",1928,1,2016,3,0,"not_shrub_encroached",2
"N4",1928,1,2016,3,0.0254307616666667,"not_shrub_encroached",2
"N5",1928,4,2016,4,0.122506865,"not_shrub_encroached",0
"N6",1928,1,2016,2,0.0128205126666667,"not_shrub_encroached",1
"R1",1928,3,2016,3,0.0150192336666667,"not_shrub_encroached",0
"R2",1928,3,2016,1,0.009507066,"not_shrub_encroached",-2
"R3",1928,4,2016,3,0.00858493066666667,"not_shrub_encroached",-1
"R4",1928,5,2016,4,0.022279968,"not_shrub_encroached",-1
"T1",1928,1,2016,2,0.0361137676666667,"not_shrub_encroached",1
"T10",1928,2,2016,1,0.0190948,"not_shrub_encroached",-1
"T11",1928,2,2016,1,0.001068376,"not_shrub_encroached",-1
"T2",1928,1,2016,1,0.0288197183333333,"not_shrub_encroached",0
"T3",1928,1,2016,1,0.001061571,"not_shrub_encroached",0
"T4",1928,1,2016,2,0.018009768,"not_shrub_encroached",1
"T5",1928,3,2016,1,0.006329114,"not_shrub_encroached",-2
"T6",1928,2,2016,1,0.008574491,"not_shrub_encroached",-1
"T7",1928,2,2016,1,0.012651999,"not_shrub_encroached",-1
"T8",1928,1,2016,1,0.001068376,"not_shrub_encroached",0
"T9",1928,2,2016,1,0.00106496266666667,"not_shrub_encroached",-1
"U1",1928,2,2016,2,0.125267733333333,"not_shrub_encroached",0
"U2",1928,1,2016,3,0.138792788,"not_shrub_encroached",2
"U3",1928,2,2016,2,0.177320171,"shrub_encroached",0
"U4",1928,2,2016,4,0.040097912,"not_shrub_encroached",2
"U5",1928,2,2016,4,0.0274866293333333,"not_shrub_encroached",2
"V1",1928,1,2016,1,0.145698924666667,"not_shrub_encroached",0
"V2",1928,2,2016,1,0.0457499606666667,"not_shrub_encroached",-1
"V3",1928,2,2016,0,0.107892373333333,"not_shrub_encroached",-2
"V4",1928,2,2016,0,0.204386024333333,"shrub_encroached",-2
"Y3",1928,4,2016,0,0.00742775733333333,"not_shrub_encroached",-4
"Y7",1928,3,2016,3,0.0180741046666667,"not_shrub_encroached",0
