"project_year","ARIST","ASTRA","BOER4","BOUTE","EVNU","GUSA2","PECTI","SEBA3","UNKG","BAAB","ERIOG","EUPHO","PAHA","POJA5","UNKN","DANA","CYPER","HAPLO11","IPOMO2","UNKF","SPORO","PSTA","PEAM","PLANT","ALIN","KRLA","OENOT","SOEL","NA","SELE6","UNKCA","ZIGR","LESQU","MEMU3","MIRU5","HOFFM","DAPU7","SPHAE","GAILL","CHER2","TECO","MUAR","MUPO2","CRPO5","DECO2","SCBR2","PAOB","ENDE","MELE2","UNKPF","PHHE4","PHAU13","UNKP","SEFL3","CHSO","MACHA","ARTE3","DALA3","PLMU3","FUCYC","AMCH3","CONDA","OPUNT","ACOUR","ACNA2","MUAR2","LEDE23","HYVE","ARTEM","TOWNS","SPAN3","UNKPF1","DELPH","CHAMA15","CHAMA8","GUTIE","CHCO","CESP4","PHEME","ERHI3","COMME","ZIAC","CHCO2","ERLE","SEFLF","TRNE","BELY","UNKPF2","ASMOB","SPCO","UNKPG","ASPA14","BOCU","CYLIN2","CODR2","LOTUS","COER","DICA8","ASSU2","TRAGI"
1915,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
1917,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
1918,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
1919,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1920,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1921,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1922,1,NA,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1924,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
