"quadrat","project_year","year","month","species","count","cover","form","category","present","day"
"A1",1915,1915,10,"ARIST",13,0.02051296,"GRASS","",1,13
"A1",1915,1915,10,"ASTRA",11,0.000275,"","",1,13
"A1",1915,1915,10,"BOER4",37,0.0189147,"GRASS","Cover",1,13
"A1",1915,1915,10,"BOUTE",3,7.5e-05,"GRASS","",1,13
"A1",1915,1915,10,"EVNU",2,5e-05,"FORB","PerennialForb",1,13
"A1",1915,1915,10,"PECTI",10,0.00025,"","",1,13
"A1",1915,1915,10,"SEBA3",2,5e-05,"FORB","PerennialForb",1,13
"A1",1916,1916,5,"ARIST",14,0.0320595,"GRASS","",1,24
"A1",1916,1916,5,"BOER4",29,0.02470638,"GRASS","Cover",1,24
"A1",1916,1916,5,"SEBA3",2,5e-05,"FORB","PerennialForb",1,24
"A1",1917,1917,9,"ARIST",38,0.01723244,"GRASS","",1,19
"A1",1917,1917,9,"BAAB",1,2.5e-05,"FORB","PerennialForb",1,19
"A1",1917,1917,9,"BOER4",28,0.01421189,"GRASS","Cover",1,19
"A1",1917,1917,9,"BOUTE",24,6e-04,"GRASS","",1,19
"A1",1917,1917,9,"ERIOG",1,2.5e-05,"","",1,19
"A1",1917,1917,9,"EUPHO",13,0.000325,"","",1,19
"A1",1917,1917,9,"EVNU",9,0.000225,"FORB","PerennialForb",1,19
"A1",1917,1917,9,"PAHA",2,5e-05,"GRASS","Cover",1,19
"A1",1917,1917,9,"PECTI",126,0.00315,"","",1,19
"A1",1917,1917,9,"POJA5",4,1e-04,"FORB","PerennialForb",1,19
"A1",1917,1917,9,"SEBA3",4,1e-04,"FORB","PerennialForb",1,19
"A1",1918,1918,9,"ARIST",7,0.00305451,"GRASS","",1,23
"A1",1918,1918,9,"BOER4",10,0.00526725,"GRASS","Cover",1,23
"A1",1918,1918,9,"BOUTE",1,2.5e-05,"GRASS","",1,23
"A1",1918,1918,9,"PECTI",2,5e-05,"","",1,23
"A1",1919,1919,10,"ARIST",5,0.00239675,"GRASS","",1,17
"A1",1919,1919,10,"BOER4",22,0.0081498,"GRASS","Cover",1,17
"A1",1920,1920,10,"ARIST",3,0.0035785,"GRASS","",1,27
"A1",1920,1920,10,"BOER4",32,0.01831925,"GRASS","Cover",1,27
"A1",1920,1920,10,"DANA",2,5e-05,"FORB","PerennialForb",1,27
"A1",1920,1920,10,"ERIOG",8,2e-04,"","",1,27
"A1",1920,1920,10,"EVNU",3,7.5e-05,"FORB","PerennialForb",1,27
"A1",1921,1921,10,"ARIST",14,0.005311,"GRASS","",1,20
"A1",1921,1921,10,"BOER4",27,0.0308075,"GRASS","Cover",1,20
"A1",1921,1921,10,"CYPER",2,0.00053625,"GRASS","",1,20
"A1",1921,1921,10,"EUPHO",3,7.5e-05,"","",1,20
"A1",1921,1921,10,"EVNU",2,5e-05,"FORB","PerennialForb",1,20
"A1",1921,1921,10,"HAPLO11",1,2.5e-05,"","",1,20
"A1",1921,1921,10,"IPOMO2",2,5e-05,"","",1,20
"A1",1921,1921,10,"PECTI",1,2.5e-05,"","",1,20
"A1",1922,1922,10,"ARIST",5,0.00061575,"GRASS","",1,17
"A1",1922,1922,10,"BOER4",21,0.01534908,"GRASS","Cover",1,17
"A1",1922,1922,10,"EVNU",2,5e-05,"FORB","PerennialForb",1,17
"A1",1922,1922,10,"HAPLO11",1,2.5e-05,"","",1,17
"A1",1923,1923,10,"ARIST",6,0.0011285,"GRASS","",1,25
"A1",1923,1923,10,"BOER4",21,0.01643563,"GRASS","Cover",1,25
"A1",1923,1923,10,"CYPER",9,0.000225,"GRASS","",1,25
"A1",1923,1923,10,"ERIOG",7,0.000175,"","",1,25
"A1",1923,1923,10,"EUPHO",13,0.000325,"","",1,25
"A1",1923,1923,10,"EVNU",6,0.00015,"FORB","PerennialForb",1,25
"A1",1923,1923,10,"HAPLO11",1,2.5e-05,"","",1,25
"A1",1923,1923,10,"PECTI",1,2.5e-05,"","",1,25
"A1",1923,1923,10,"SPORO",4,1e-04,"GRASS","Cover",1,25
"A1",1924,1924,10,"ARIST",3,0.001784,"GRASS","",1,26
"A1",1924,1924,10,"BOER4",19,0.02586995,"GRASS","Cover",1,26
"A1",1924,1924,10,"EVNU",1,2.5e-05,"FORB","PerennialForb",1,26
"A1",1924,1924,10,"PSTA",1,2.5e-05,"FORB","PerennialForb",1,26
"A1",1925,1925,10,"ARIST",2,0.0007705,"GRASS","",1,21
"A1",1925,1925,10,"BOER4",23,0.0096215,"GRASS","Cover",1,21
"A1",1925,1925,10,"DANA",2,5e-05,"FORB","PerennialForb",1,21
"A1",1925,1925,10,"ERIOG",1,2.5e-05,"","",1,21
"A1",1925,1925,10,"EUPHO",1,2.5e-05,"","",1,21
"A1",1925,1925,10,"SEBA3",1,2.5e-05,"FORB","PerennialForb",1,21
"A1",1926,1926,9,"ARIST",1,0.0017155,"GRASS","",1,15
"A1",1926,1926,9,"BOER4",20,0.02137443,"GRASS","Cover",1,15
"A1",1926,1926,9,"BOUTE",3,7.5e-05,"GRASS","",1,15
"A1",1926,1926,9,"CYPER",1,2.5e-05,"GRASS","",1,15
"A1",1926,1926,9,"DANA",1,2.5e-05,"FORB","PerennialForb",1,15
