"project_year","grass_cover","shrub_cover","perennial_cover","bareground","quadrat"
1916,0.0564944777148553,0,0.0564944777148553,0.943505522285145,"A1"
1917,0.0325547253735437,0,0.0325547253735437,0.967445274626456,"A1"
1918,0.00830958424531033,0,0.00830958424531033,0.99169041575469,"A1"
1919,0.010499576583205,0,0.010499576583205,0.989500423416795,"A1"
1920,0.0218002192894482,0,0.0218002192894482,0.978199780710552,"A1"
1921,0.0359536491293306,0,0.0359536491293306,0.964046350870669,"A1"
1922,0.0172734712387776,0,0.0172734712387776,0.982726528761222,"A1"
1923,0.0207524070433529,0,0.0207524070433529,0.979247592956647,"A1"
1924,0.0296774776883847,0,0.0296774776883847,0.970322522311615,"A1"
1925,0.0103457149312676,0,0.0103457149312676,0.989654285068732,"A1"
1926,0.0230617553969985,0,0.0230617553969985,0.976938244603001,"A1"
1927,0.039451450529927,0,0.039451450529927,0.960548549470073,"A1"
1928,0.046052339171636,0,0.046052339171636,0.953947660828364,"A1"
1929,0.0891691714242365,0,0.0891691714242365,0.910830828575763,"A1"
1930,0.0759969816360978,0,0.0759969816360978,0.924003018363902,"A1"
1931,0.0627537099839501,0,0.0627537099839501,0.93724629001605,"A1"
1932,0.0667346199504834,0,0.0667346199504834,0.933265380049517,"A1"
1933,0.075432228249904,0,0.075432228249904,0.924567771750096,"A1"
1934,0.02393602403358,0,0.02393602403358,0.97606397596642,"A1"
1935,0.00468951984946102,0,0.00468951984946102,0.995310480150539,"A1"
1936,0.014027045237988,0,0.014027045237988,0.985972954762012,"A1"
1937,0.0177375450601885,0,0.0177375450601885,0.982262454939811,"A1"
1938,0.0169949672418285,0,0.0169949672418285,0.983005032758172,"A1"
1939,0.0253112614592851,0,0.0253112614592851,0.974688738540715,"A1"
1940,0.0394539891394391,0,0.0394539891394391,0.960546010860561,"A1"
1941,0.0518724807927592,0,0.0518724807927592,0.948127519207241,"A1"
1942,0.0497598822468449,0,0.0497598822468449,0.950240117753155,"A1"
1943,0.0404430641869198,0,0.0404430641869198,0.95955693581308,"A1"
1944,0.0503114147245819,0,0.0503114147245819,0.949688585275418,"A1"
1945,0.0627671896410647,0,0.0627671896410647,0.937232810358935,"A1"
1946,0.0607940173271304,0,0.0607940173271304,0.93920598267287,"A1"
1947,0.0694327688612864,0,0.0694327688612864,0.930567231138714,"A1"
1948,0.0637916562978859,0,0.0637916562978859,0.936208343702114,"A1"
1949,0.0581505437344855,0,0.0581505437344855,0.941849456265515,"A1"
1950,0.0513496200064987,0,0.0513496200064987,0.948650379993501,"A1"
1951,0.0592183166724226,0,0.0592183166724226,0.940781683327577,"A1"
1952,0.00176858761753145,0.00164762877208816,0.00341621638961961,0.99658378361038,"A1"
1953,0.00381294150501349,0.00728503292643322,0.0110979744314467,0.988902025568553,"A1"
1954,0.00585729539249553,0.0129224370807783,0.0187797324732738,0.981220267526726,"A1"
