"quadrat","project_year","year","month","day","total_shrub","total_grass","n_forbs","date"
"A1","1995",1995,10,18,0.876805342756844,0.0001064598651476,0,1995-10-01
"A1","2001",2001,10,30,0.894508705580926,0.0017508227498774,0,2001-10-01
"A1","2006",2006,11,9,0.598707335049446,0.0618681951204896,0,2006-11-01
"A1","2011",2011,12,1,0.555446464844745,0.0193488899823042,0,2011-12-01
"A1","2016",2016,11,15,0.867799916740514,0.0260477462823263,0,2016-11-01
"A3","1995",1995,10,18,0.0265938282767267,0,5,1995-10-01
"A3","2001",2001,10,25,0.0302498161008704,0,7,2001-10-01
"A3","2006",2006,11,8,0.13376491506374,0.00425898500919469,2,2006-11-01
"A3","2011",2011,11,30,0.108258849789675,0.0359199950076911,2,2011-11-01
"A3","2016",2016,11,15,0.0768462150578422,0.00144027499872111,6,2016-11-01
"A4","1995",1995,10,18,0.327555690045895,0.00028555002545051,1,1995-10-01
"A4","2001",2001,10,25,0.348659142918723,0,5,2001-10-01
"A4","2006",2006,11,8,0.184194580265727,0.0127931549379465,2,2006-11-01
"A4","2011",2011,11,30,0.279159494857053,0.0317532349979033,0,2011-11-01
"A4","2016",2016,11,15,0.240659794941902,1e-04,11,2016-11-01
"A5","1995",1995,10,3,0.332159595127269,0.00041439940466833,0,1995-10-01
"A5","2001",2001,10,25,0.565381625195707,0,0,2001-10-01
"A5","2006",2006,11,8,0.538369864854604,0.0080723350335946,7,2006-11-01
"A5","2011",2011,11,30,0.315832719788671,0.0471240599934147,1,2011-11-01
"A5","2016",2016,11,15,0.324380529696786,0.0222552200098323,1,2016-11-01
"AR1","1995",1995,10,18,0.647452370144829,0,0,1995-10-01
"AR1","2001",2001,10,30,0.385594507198071,0,0,2001-10-01
"AR1","2006",2006,11,7,0.393775464663237,0.00114328001216732,0,2006-11-01
"AR1","2011",2011,12,1,0.477095584579047,0.00771170999560595,0,2011-12-01
"AR1","2016",2016,11,10,0.397430894867282,0,0,2016-11-01
"AR2","1995",1995,10,18,0.00175320511954152,0,0,1995-10-01
"AR2","2001",2001,10,30,0,0,0,2001-10-01
"AR2","2006",2006,11,7,0,1e-04,1,2006-11-01
"AR2","2011",2011,12,1,0,0.0132011749649949,0,2011-12-01
"AR2","2016",2016,11,10,0,0,0,2016-11-01
"AR3","1995",1995,10,18,0.0109288882570392,0,2,1995-10-01
"AR3","2001",2001,10,30,0.0386025133952372,0,0,2001-10-01
"AR3","2006",2006,11,7,0.059460785016956,1e-04,0,2006-11-01
