"quadrat","project_year","year","month","species","totalarea"
"A1",1952,1952,9,"PRGL2",0.001655
"A1",1956,1956,8,"PRGL2",0.0243055
"A1",1957,1957,8,"PRGL2",0.0585985
"A1",1958,1958,9,"PRGL2",0.15932015
"A1",1959,1959,9,"PRGL2",0.16763979
"A1",1960,1960,8,"PRGL2",0.07455335
"A1",1961,1961,9,"PRGL2",0.17044675
"A1",1965,1965,10,"PRGL2",0.13991652
"A1",1966,1966,10,"PRGL2",0.15236032
"A1",1968,1968,8,"PRGL2",0.23152635
"A1",1969,1969,9,"PRGL2",0.29764858
"A1",1971,1971,7,"PRGL2",0.00070815
"A1",1972,1972,8,"PRGL2",0.29046465
"A1",1973,1973,8,"PRGL2",0.36109556
"A1",1974,1974,6,"PRGL2",0.12981175
"A1",1975,1975,8,"PRGL2",0.23880687
"A1",1976,1976,7,"PRGL2",0.36654902
"A1",1977,1977,7,"PRGL2",0.16713279
"A1",1995,1995,10,"PRGL2",0.876698562103911
"A1",2001,2001,10,"PRGL2",0.894508704077452
"A1",2006,2006,11,"PRGL2",0.598707335700207
"A1",2011,2011,12,"PRGL2",0.555446464844745
"A1",2016,2016,11,"PRGL2",0.867796270364992
"A2",1916,1916,9,"PRGL2",0.0010064
"A2",1917,1917,9,"PRGL2",0.00181083
"A2",1918,1918,9,"PRGL2",0.00274992
"A2",1919,1919,10,"PRGL2",0.00671925
"A2",1920,1920,10,"PRGL2",0.0130495
"A2",1921,1921,10,"PRGL2",0.01766558
"A2",1922,1922,10,"PRGL2",7.5e-05
"A2",1923,1923,10,"PRGL2",0.00752565
"A2",1924,1924,10,"PRGL2",0.01337683
"A2",1925,1925,10,"PRGL2",0.00823355
"A2",1926,1926,9,"PRGL2",0.00920745
"A2",1927,1927,9,"PRGL2",0.0140702
"A2",1928,1928,9,"PRGL2",0.02896116
"A2",1929,1929,9,"PRGL2",0.0401829
"A2",1930,1930,8,"PRGL2",0.02577265
"A2",1931,1931,9,"PRGL2",0.03581926
"A2",1932,1932,9,"PRGL2",0.0894976
"A2",1933,1933,10,"PRGL2",0.0716267
"A2",1934,1934,10,"PRGL2",0.05333199
"A2",1935,1935,10,"PRGL2",0.0845062
"A2",1936,1936,10,"PRGL2",0.10437108
"A2",1937,1937,10,"PRGL2",0.1668566
"A2",1938,1938,9,"PRGL2",0.1128197
"A2",1939,1940,1,"PRGL2",0.0850545
"A2",1940,1941,2,"PRGL2",0.06103791
"A2",1941,1942,1,"PRGL2",0.11986037
"A2",1942,1942,10,"PRGL2",0.19135105
"A2",1943,1943,12,"PRGL2",0.21909138
"A2",1944,1944,9,"PRGL2",0.19316637
"A2",1945,1945,9,"PRGL2",0.25515986
"A2",1946,1947,2,"PRGL2",0.26837119
"A2",1947,1947,9,"PRGL2",0.35134399
"A2",1949,1949,9,"PRGL2",0.56033622
"A2",1950,1950,11,"PRGL2",0.40566756
"A2",1951,1951,8,"PRGL2",0.47973679
"A2",1952,1952,9,"PRGL2",0.5397029
"A2",1956,1956,8,"PRGL2",0.6064855
"A2",1957,1957,8,"PRGL2",1
"A2",1958,1958,9,"PRGL2",0.7241347
"A2",1960,1960,8,"PRGL2",0.7532755
"A2",1961,1961,9,"PRGL2",0.59457443
"A2",1965,1965,10,"PRGL2",0.6444498
"A2",1966,1966,10,"PRGL2",0.79191107
"A2",1968,1968,8,"PRGL2",0.74300605
"A2",1971,1971,7,"PRGL2",0.00993419
"A2",1972,1972,8,"PRGL2",0.84347923
"A2",1974,1974,7,"PRGL2",0.9765514
"A2",1976,1976,7,"PRGL2",0.10088907
"A2",1995,1995,10,"PRGL2",0.743277311095767
"A2",2001,2001,10,"PRGL2",0.787323113065213
"A2",2006,2006,11,"PRGL2",0.704775904976855
"A2",2011,2011,11,"PRGL2",0.759317785490686
"A2",2016,2016,11,"PRGL2",0.703447985702031
"A3",1969,1969,9,"PRGL2",0.000801
"A3",1976,1976,7,"PRGL2",2.5e-05
"A3",1995,1995,10,"PRGL2",0.026593828555335
"A3",2001,2001,10,"PRGL2",0.030249816292503
"A3",2006,2006,11,"PRGL2",0.13376491506374
"A3",2011,2011,11,"PRGL2",0.108258849789675
"A3",2016,2016,11,"PRGL2",0.076846215080101
"A4",1951,1951,8,"PRGL2",0.00071
"A4",1952,1952,9,"PRGL2",0.0365885
"A4",1956,1956,8,"PRGL2",0.038565
"A4",1957,1957,8,"PRGL2",0.0476425
"A4",1958,1958,9,"PRGL2",0.20578294
"A4",1959,1959,9,"PRGL2",0.13154748
"A4",1960,1960,8,"PRGL2",0.005556
"A4",1965,1965,10,"PRGL2",0.1360185
"A4",1966,1966,10,"PRGL2",0.0754867
"A4",1968,1968,8,"PRGL2",0.1248365
"A4",1971,1971,7,"PRGL2",0.00144358
"A4",1972,1972,8,"PRGL2",0.159089
"A4",1974,1974,6,"PRGL2",0.179963
"A4",1975,1975,8,"PRGL2",0.21604481
"A4",1995,1995,10,"PRGL2",0.327555689719702
"A4",2001,2001,10,"PRGL2",0.34865914236434
"A4",2006,2006,11,"PRGL2",0.184194579817482
"A4",2011,2011,11,"PRGL2",0.279159494857053
"A4",2016,2016,11,"PRGL2",0.240659794942228
"A5",1952,1952,9,"PRGL2",0.04571367
"A5",1956,1956,8,"PRGL2",0.0518245
"A5",1958,1958,9,"PRGL2",0.220433
"A5",1959,1959,9,"PRGL2",0.15550835
"A5",1960,1960,8,"PRGL2",0.0591755
"A5",1961,1961,9,"PRGL2",0.0303465
"A5",1965,1965,10,"PRGL2",0.0579528
"A5",1966,1966,10,"PRGL2",0.07026414
"A5",1968,1968,8,"PRGL2",0.1112355
"A5",1971,1971,7,"PRGL2",0.241668
"A5",1972,1972,8,"PRGL2",0.3183645
"A5",1974,1974,6,"PRGL2",0.095278
"A5",1975,1975,8,"PRGL2",0.158869
"A5",1976,1976,7,"PRGL2",0.0727275
"A5",1995,1995,10,"PRGL2",0.332159594334371
"A5",2001,2001,10,"PRGL2",0.565381627064198
