originalName,oldspeciescode,newName,newspeciescode,
Aristida pansa,ARPA9,Aristida spp.,ARIST,PerennialGrass
Aristida purpurea,ARPU9,Aristida spp.,ARIST,PerennialGrass
Aristida purpurea v. longiseta,ARPUL,Aristida spp.,ARIST,PerennialGrass
Cyperus retroflexus,CYRE14,Cyperus spp.,CYPER,Perennial Grass
Dalea sp.,DALEA,Dalea nana,DANA,
Ephedra torreyana,EPTO,Ephedra spp.,EPHED,Shrub
Ephedra trifurca,EPTR,Ephedra spp.,EPHED,Shrub
Eriogonum jamesii,ERJA,Eriogonum sp.,ERIOG,
Chamaesyce albomarginata,CHAL11,Euphorbia spp.,EUPHO,
Gaillardia pinnatifida,GAPI,Gaillardia spp.,GAILL,
Hoffmannseggia drepanocarpa,HODR,Hoffmannseggia spp.,HOFFM,
Hoffmannseggia glauca,HOGL2,Hoffmannseggia spp.,HOFFM,
Lesquerella fendleri,LEFE,Lesquerella spp.,LESQU,
Machaeranthera pinnatifida,MAPI,Machaeranthera spp.,MACHA,
Sporobolus nealleyi,SPNE,Muhlenbergia arenacea,MUAR,PerennialGrass
Oenothera pallida,OEPA,Oenothera spp.,OENOT,
Sphaeralcea hastata,SPHA,Sphaeralcea spp.,SPHAE,
Sphaeralcea incana,SPIN2,Sphaeralcea spp.,SPHAE,
Sporobolus contractus,SPCO4,Sporobolus spp.,SPORO,PerennialGrass
Sporobolus cryptandrus,SPCR,Sporobolus spp.,SPORO,PerennialGrass
Sporobolus flexuosus,SPFL2,Sporobolus spp.,SPORO,
Sporobolus airoides,SPAI,Sporobolus spp.,SPORO,
Glandularia bipinnatifida,GLBI2,Unknown,UNKF,
