quadrat,vegtype,upland_byspecies,upland_bysoil,NAD 27 X,NAD 27 Y,NAD27 UTM,WGS84 UTM,WGS84 Lat Lon degrees decimal minutes
A1,BOER,upland,upland,326229.2,3609501,13 S 326229.2 3609501,13 S 326179 3609705,N32 36.674 W106 51.150
A2,BOER,upland,upland,325753.5,3610311,13 S 325753.5 3610311,13 S 325703 3610515,N32 37.108 W106 51.463
A3,BOER,upland,upland,325343.9,3610969,13 S 325343.9 3610969,13 S 325294 3611173,N32 37.460 W106 51.732
A4,BOER,upland,upland,324942.7,3611626,13 S 324942.7 3611626,13 S 324893 3611830,N32 37.812 W106 51.996
A5,BOER,upland,upland,324664.7,3612320,13 S 324664.7 3612320,13 S 324615 3612524,N32 38.185 W106 52.182
AR1,ARSP,upland,upland,327247.5,3615532,13 S 327247.5 3615532,13 S 327197 3615736,N32 39.947 W106 50.566
AR2,ARSP,upland,upland,327422.7,3615434,13 S 327422.7 3615434,13 S 327373 3615638,N32 39.895 W106 50.453
AR3,ARSP,upland,upland,327582.3,3615433,13 S 327582.3 3615433,13 S 327532 3615637,N32 39.896 W106 50.351
AR4,ARSP,upland,upland,327182.5,3609533,13 S 327182.5 3609533,13 S 327132 3609737,N32 36.701 W106 50.541
AR5,ARSP,upland,upland,327354.6,3609793,13 S 327354.6 3609793,13 S 327305 3609997,N32 36.843 W106 50.434
AR6,ARSP,upland,upland,327353.3,3609804,13 S 327353.3 3609804,13 S 327303 3610008,N32 36.849 W106 50.435
B1,BOER,upland,upland,327221.4,3608284,13 S 327221.4 3608284,13 S 327221 3608284,N32 35.915 W106 50.468
B2,BOER,upland,upland,327774.2,3607772,13 S 327774.2 3607772,13 S 327724 3607976,N32 35.754 W106 50.144
B2A,BOER,upland,upland,327432.3,3607452,13 S 327432.3 3607452,13 S 327382 3607656,N32 35.577 W106 50.359
B3,BOER,upland,upland,328343,3607260,13 S 328343 3607260,13 S 328293 3607464,N32 35.482 W106 49.774
B4,BOER,upland,upland,328923.9,3606764,13 S 328923.9 3606764,13 S 328874 3606968,N32 35.219 W106 49.398
B5,BOER,upland,upland,329498.6,3606247,13 S 329498.6 3606247,13 S 329449 3606451,N32 34.945 W106 49.025
G1,BOER,upland,upland,336075.7,3610403,13 S 336075.7 3610403,13 S 336026 3610607,N32 37.253 W106 44.866
G2,BOER,upland,upland,335415.7,3610800,13 S 335415.7 3610800,13 S 335366 3611004,N32 37.462 W106 45.292
G3,BOER,upland,upland,334815.1,3611290,13 S 334815.1 3611290,13 S 334765 3611494,N32 37.721 W106 45.681
G4,BOER,upland,upland,334151.2,3611815,13 S 334151.2 3611815,13 S 334101 3612019,N32 37.999 W106 46.111
G5,BOER,upland,upland,333515.8,3612293,13 S 333515.8 3612293,13 S 333466 3612497,N32 38.252 W106 46.523
G6,BOER,upland,upland,334748.3,3611337,13 S 334748.3 3611337,13 S 334698 3611541,N32 37.746 W106 45.724
H1,BOER,upland,upland,331444.7,3603858,13 S 331444.7 3603858,13 S 331395 3604062,N32 33.670 W106 47.756
H2,BOER,upland,upland,330798.3,3604221,13 S 330798.3 3604221,13 S 330748 3604425,N32 33.861 W106 48.172
H3,BOER,upland,upland,330110.4,3604643,13 S 330110.4 3604643,13 S 330060 3604847,N32 34.083 W106 48.617
I1,SCBR,lowland,upland,336776.2,3609130,13 S 336776.2 3609130,13 S 336726 3609334,N32 36.570 W106 44.405
I2,BOER,upland,upland,336768.1,3608351,13 S 336768.1 3608351,13 S 336718 3608555,N32 36.149 W106 44.402
I3,PLMU,lowland,upland,336771.8,3607620,13 S 336771.8 3607620,13 S 336722 3607824,N32 35.753 W106 44.392
