"quadrat","project_year","year","month","species","totalarea"
"A1",1952,1952,9,"PRGL2",0.00165500000008498
"A1",1956,1956,8,"PRGL2",0.0243055000009939
"A1",1957,1957,8,"PRGL2",0.0585984999816501
"A1",1958,1958,9,"PRGL2",0.159320149965633
"A1",1959,1959,9,"PRGL2",0.167639790021062
"A1",1960,1960,8,"PRGL2",0.0745533500106181
"A1",1961,1961,9,"PRGL2",0.17044674992972
"A1",1965,1965,10,"PRGL2",0.139916519970961
"A1",1966,1966,10,"PRGL2",0.152360315061982
"A1",1968,1968,8,"PRGL2",0.231526349973632
"A1",1969,1969,9,"PRGL2",0.297648584992689
"A1",1971,1971,7,"PRGL2",0.000708149997223541
"A1",1972,1972,8,"PRGL2",0.290464650050557
"A1",1973,1973,8,"PRGL2",0.361095559966839
"A1",1974,1974,6,"PRGL2",0.129811749962455
"A1",1975,1975,8,"PRGL2",0.238806874987941
"A1",1976,1976,7,"PRGL2",0.366549020054328
"A1",1977,1977,7,"PRGL2",0.167132790045531
"A1",1995,1995,10,"PRGL2",0.876805342756844
"A1",2001,2001,10,"PRGL2",0.894508705580926
"A1",2006,2006,11,"PRGL2",0.598707335049446
"A1",2011,2011,12,"PRGL2",0.555446464844745
"A1",2016,2016,11,"PRGL2",0.867799916740514
"A2",1916,1916,9,"PRGL2",0.00100639999510734
"A2",1917,1917,9,"PRGL2",0.00181082500386304
"A2",1918,1918,9,"PRGL2",0.00274991999914257
"A2",1919,1919,10,"PRGL2",0.00671924998834775
"A2",1920,1920,10,"PRGL2",0.0130495000130842
"A2",1921,1921,10,"PRGL2",0.0176655799917012
"A2",1922,1922,10,"PRGL2",7.5e-05
"A2",1923,1923,10,"PRGL2",0.00752565000804202
"A2",1924,1924,10,"PRGL2",0.0133768299929445
"A2",1925,1925,10,"PRGL2",0.00823354998750885
"A2",1926,1926,9,"PRGL2",0.00920744999866753
"A2",1927,1927,9,"PRGL2",0.0140701999993345
"A2",1928,1928,9,"PRGL2",0.0289611550039846
"A2",1929,1929,9,"PRGL2",0.040182899999726
"A2",1930,1930,8,"PRGL2",0.0257726499844594
"A2",1931,1931,9,"PRGL2",0.0358192600132586
"A2",1932,1932,9,"PRGL2",0.0894975949874723
"A2",1933,1933,10,"PRGL2",0.0716266999580831
"A2",1934,1934,10,"PRGL2",0.0533319900016972
"A2",1935,1935,10,"PRGL2",0.0845062000331794
"A2",1936,1936,10,"PRGL2",0.10437107998454
"A2",1937,1937,10,"PRGL2",0.166856600014702
"A2",1938,1938,9,"PRGL2",0.112819700014374
"A2",1939,1940,1,"PRGL2",0.085054499949909
"A2",1940,1941,2,"PRGL2",0.0610379050420731
"A2",1941,1942,1,"PRGL2",0.119860370029693
"A2",1942,1942,10,"PRGL2",0.191351049994133
"A2",1943,1943,12,"PRGL2",0.219091379941556
"A2",1944,1944,9,"PRGL2",0.193166374996384
"A2",1945,1945,9,"PRGL2",0.255159855010634
"A2",1946,1947,2,"PRGL2",0.268371189981099
"A2",1947,1947,9,"PRGL2",0.351343989918998
"A2",1949,1949,9,"PRGL2",0.560336220003577
"A2",1950,1950,11,"PRGL2",0.405667559957748
"A2",1951,1951,8,"PRGL2",0.479736789975331
"A2",1952,1952,9,"PRGL2",0.539702900167995
"A2",1956,1956,8,"PRGL2",0.606485500043885
"A2",1957,1957,8,"PRGL2",1
"A2",1958,1958,9,"PRGL2",0.724134699964792
"A2",1960,1960,8,"PRGL2",0.753275499856563
"A2",1961,1961,9,"PRGL2",0.594574430077508
"A2",1965,1965,10,"PRGL2",0.644449799870652
"A2",1966,1966,10,"PRGL2",0.791911069952966
"A2",1968,1968,8,"PRGL2",0.743006045154112
"A2",1971,1971,7,"PRGL2",0.00993418999910931
"A2",1972,1972,8,"PRGL2",0.84347922978935
"A2",1974,1974,7,"PRGL2",0.976551399955485
"A2",1976,1976,7,"PRGL2",0.100889070028255
"A2",1995,1995,10,"PRGL2",0.743335888854214
"A2",2001,2001,10,"PRGL2",0.787323111965718
"A2",2006,2006,11,"PRGL2",0.704775904976855
"A2",2011,2011,11,"PRGL2",0.759317785490686
"A2",2016,2016,11,"PRGL2",0.703447985197115
"A3",1969,1969,9,"PRGL2",0.000801000001847045
"A3",1976,1976,7,"PRGL2",2.5e-05
"A3",1995,1995,10,"PRGL2",0.0265938282767267
"A3",2001,2001,10,"PRGL2",0.0302498161008704
"A3",2006,2006,11,"PRGL2",0.13376491506374
"A3",2011,2011,11,"PRGL2",0.108258849789675
"A3",2016,2016,11,"PRGL2",0.0768462150578422
"A4",1951,1951,8,"PRGL2",0.00070999999928521
"A4",1952,1952,9,"PRGL2",0.0365885000295656
"A4",1956,1956,8,"PRGL2",0.0385650000064948
"A4",1957,1957,8,"PRGL2",0.0476424999991304
"A4",1958,1958,9,"PRGL2",0.205782935038641
"A4",1959,1959,9,"PRGL2",0.131547475002243
"A4",1960,1960,8,"PRGL2",0.00555599999111705
"A4",1965,1965,10,"PRGL2",0.136018499989417
"A4",1966,1966,10,"PRGL2",0.0754867000348544
"A4",1968,1968,8,"PRGL2",0.124836500019597
"A4",1971,1971,7,"PRGL2",0.0014435800045677
"A4",1972,1972,8,"PRGL2",0.159089000019741
"A4",1974,1974,6,"PRGL2",0.179962999880885
"A4",1975,1975,8,"PRGL2",0.216044809981212
"A4",1995,1995,10,"PRGL2",0.327555690045895
"A4",2001,2001,10,"PRGL2",0.348659142918723
"A4",2006,2006,11,"PRGL2",0.184194580265727
"A4",2011,2011,11,"PRGL2",0.279159494857053
"A4",2016,2016,11,"PRGL2",0.240659794941902
"A5",1952,1952,9,"PRGL2",0.045713669976962
"A5",1956,1956,8,"PRGL2",0.0518244999277401
"A5",1958,1958,9,"PRGL2",0.22043299998406
"A5",1959,1959,9,"PRGL2",0.15550835003882
"A5",1960,1960,8,"PRGL2",0.0591755000461247
"A5",1961,1961,9,"PRGL2",0.0303465000480876
"A5",1965,1965,10,"PRGL2",0.0579527999743345
"A5",1966,1966,10,"PRGL2",0.0702641399425389
"A5",1968,1968,8,"PRGL2",0.111235499983314
"A5",1971,1971,7,"PRGL2",0.241667999925563
"A5",1972,1972,8,"PRGL2",0.318364500144813
"A5",1974,1974,6,"PRGL2",0.0952779998897661
"A5",1975,1975,8,"PRGL2",0.15886899980458
"A5",1976,1976,7,"PRGL2",0.0727275000005635
"A5",1995,1995,10,"PRGL2",0.332159595127269
"A5",2001,2001,10,"PRGL2",0.565381625195707
"A5",2006,2006,11,"PRGL2",0.538369864854604
"A5",2011,2011,11,"PRGL2",0.315832719788671
"A5",2016,2016,11,"PRGL2",0.324380529696786
"AR1",1949,1949,9,"VACO9",2.5e-05
"AR1",1959,1959,9,"PRGL2",0.00542249995151418
"AR1",1965,1965,10,"PRGL2",0.229228999846956
"AR1",1972,1972,8,"PRGL2",0.093516500086929
"AR1",1973,1973,8,"PRGL2",0.266725459870499
"AR1",1974,1974,6,"PRGL2",0.357088549988938
"AR1",1975,1975,8,"PRGL2",0.311493870004921
"AR1",1976,1976,7,"PRGL2",0.522040629960289
"AR1",1995,1995,10,"PRGL2",0.647452370144829
"AR1",2001,2001,10,"PRGL2",0.385594507198071
"AR1",2006,2006,11,"PRGL2",0.393775464663237
"AR1",2011,2011,12,"PRGL2",0.477095584579047
"AR1",2016,2016,11,"PRGL2",0.397430894867282
"AR2",1957,1957,8,"PRGL2",0.000537499999807915
"AR2",1958,1958,9,"PRGL2",0.00427400001150579
"AR2",1959,1959,9,"PRGL2",2.5e-05
"AR2",1995,1995,10,"PRGL2",0.00175320511954152
"AR3",1949,1949,9,"VACO9",2.5e-05
"AR3",1977,1977,7,"PRGL2",2.5e-05
"AR3",1995,1995,10,"PRGL2",0.0109288882570392
"AR3",2001,2001,10,"PRGL2",0.0386025133952372
"AR3",2006,2006,11,"PRGL2",0.059460785016956
"AR3",2011,2011,12,"PRGL2",0.0786221801448555
"AR3",2016,2016,11,"PRGL2",0.0735293600214621
"AR4",1957,1957,8,"PRGL2",0.0229594000147988
"AR4",1958,1958,9,"PRGL2",0.0042760000111137
"AR4",1959,1959,8,"PRGL2",0.0311781999732636
"AR4",1960,1960,8,"PRGL2",0.00781199997317698
"AR4",1979,1979,8,"PRGL2",0.0103335899798496
"AR4",1995,1995,10,"PRGL2",0.254055831337274
"AR4",2001,2001,10,"PRGL2",0.619539650812988
"AR4",2006,2006,11,"PRGL2",0.777200329198361
"AR4",2011,2011,12,"PRGL2",0.949187949405079
"AR4",2016,2016,11,"PRGL2",1.00109865977046
"AR5",1934,1934,11,"PRGL2",2.5e-05
"AR5",1935,1935,10,"PRGL2",2.5e-05
"AR5",1953,1953,9,"PRGL2",2.5e-05
"AR5",1957,1957,8,"PRGL2",0.0496791599607732
"AR5",1958,1958,9,"PRGL2",0.0142094099643424
"AR5",1959,1959,8,"PRGL2",0.129754174924828
"AR5",1960,1960,8,"PRGL2",0.0568934999967224
"AR5",1965,1965,10,"PRGL2",0.0810185500010491
"AR5",1968,1968,8,"PRGL2",0.0661290000445014
"AR5",1972,1972,8,"PRGL2",0.135898000057046
"AR5",1973,1973,8,"PRGL2",0.242945564874887
"AR5",1974,1974,6,"PRGL2",0.235112499932005
"AR5",1976,1976,7,"PRGL2",0.318126825027362
"AR5",1995,1995,10,"PRGL2",0.453879392571655
"AR5",2001,2001,10,"PRGL2",0.667974131350178
"AR5",2006,2006,11,"ATCA2",7.5e-05
"AR5",2006,2006,11,"PRGL2",0.532043340430639
"AR5",2011,2011,12,"ATCA2",0.0281389200839772
"AR5",2011,2011,12,"PRGL2",0.629326755501422
"AR5",2016,2016,11,"ATCA2",0.348768034746176
"AR5",2016,2016,11,"PRGL2",0.527820694472829
"AR6",1943,1943,11,"PRGL2",0.00046175000475999
"AR6",1945,1945,9,"PRGL2",0.00411529997758246
"AR6",1946,1946,12,"PRGL2",0.00297678498269563
"AR6",1947,1947,9,"PRGL2",0.00489975002419355
"AR6",1949,1949,9,"PRGL2",0.00942459998896075
"AR6",1950,1950,11,"PRGL2",0.00913080000110976
"AR6",1951,1951,8,"PRGL2",0.0044534000057945
"AR6",1952,1952,9,"PRGL2",0.0188320249963862
"AR6",1953,1953,9,"PRGL2",0.0180005000034527
"AR6",1954,1954,12,"PRGL2",0.0546619999036596
"AR6",1955,1955,9,"PRGL2",0.101815499909015
