"quadrat","slope_95","pvalue_95","significant_95","slope_60","pvalue_60","significant_60","slope_50","pvalue_50","significant_50"
"A1",0.00136315176900529,0.448775204580717,"0",0.000216725,0.0866577327549173,"0",-0.00720549642857143,0.0354478925524608,"1"
"A2",NA,NA,NA,0.0013413645,0.23395283347059,"0",-0.01242446125,0.00198178943780992,"1"
"A3",0.000747143927628462,0.509315677231989,"0",0.00101571666666667,0.000138129894367891,"2",-0.003835,0.00394775185690345,"1"
"A4",0.000611563932247526,0.548067234773609,"0",0.00143123090909091,0.300427116749241,"0",-0.0240537375,0.00937476845943489,"1"
"A5",0.0017326505390254,0.17031972934806,"0",0.00108248428571429,0.124542281581885,"0",-0.014609125,0.00198178943780992,"1"
"AR1",0.000148927429762128,0.545862963947806,"0",0,0.310231204260021,"0",-0.00276063333333333,0.000613905375006301,"1"
"AR2",0.000253567613803428,0.558805713368163,"0",-9.09888888888889e-05,0.00537406070452693,"1",-0.0066296325,0.0127313642699235,"1"
"AR3",0.000224793448013034,0.558690646879169,"0",6.57464285714286e-05,0.00356063435150963,"2",-0.00127566666666667,0.00124696949743514,"1"
"AR4",8.62654586164508e-05,0.471214177289398,"0",0,0.649548859987954,"0",-0.00369725,0.000781955319219701,"1"
"AR5",0.00023004490965416,0.451949107028667,"0",0,0.152777945470135,"0",-0.002172,0.00180808592971368,"1"
"AR6",0.000290184459644674,0.921305335062917,"0",0,0.432028774573647,"0",0,NA,NA
"B1",0.000404173588196219,0.837660230484336,"0",0.0028084,0.00146399805846235,"2",-0.0189966225,0.00443400830310065,"1"
"B2",0.00102560625634223,0.395973858835915,"0",0.00117913666666667,0.0137465647406706,"2",-0.0226904333333333,0.00198178943780992,"1"
"B2A",0.000525620334029552,0.767979354145409,"0",0.004046076,0.344417522979072,"0",-0.01376366,0.0200446686226275,"1"
"B3",-0.00397293842649874,0.0624759782323109,"0",0.00114891666666667,0.150050636557259,"0",-0.0138081933333333,0.00198178943780992,"1"
"B4",0.000311303675405059,0.52840132718494,"0",0.001138685,0.511220344688192,"0",-0.0113779833333333,0.107762290391921,"0"
"B5",0.000551842401370094,0.142136593455166,"0",0.000759039166666667,0.443421402864083,"0",NA,NA,NA
"G1",-0.000211795691731051,0.573292803658191,"0",0.00274089903846154,0.00217933039667961,"2",-0.000362416666666667,0.0257531615805832,"1"
"G2",-0.000593962380274573,0.180899505497526,"0",0.00443549166666667,0.000113387515728437,"2",-0.005073465,0.00641962854143369,"1"
"G3",2.64454945026239e-06,0.993083074055344,"0",0,0.537497278563629,"0",-0.00129002041666667,0.175308080808274,"0"
"G4",-0.000281842116145867,0.0974919088477283,"0",0.0007475,0.00164632935893331,"2",-0.00615824166666667,0.028567681801513,"1"
"G5",6.70665321377027e-05,0.624106474374701,"0",0,0.0318708353113308,"0",-0.0018495,0.0192435657990748,"1"
"G6",-0.000164583678489649,0.790162498377868,"0",0.00221256538461538,0.0758911790882394,"0",-0.00558475852272727,0.0236422189091985,"1"
"H1",-0.000154301708488179,0.816229792602137,"0",0.000802190753968254,0.00544620481664911,"2",-0.00761885,0.00443400830310065,"1"
"H2",-0.00309322628573142,0.166688543546731,"0",-0.000671533928571428,0.566142727568169,"0",-0.0130920083333333,0.00937476845943489,"1"
"H3",-0.00100380099677701,0.0993752065297744,"0",0.00146288,0.00329498370452415,"2",-0.0129662716666667,0.00443400830310065,"1"
"I1",-6.20644107490816e-05,0.430781379098555,"0",8.68214285714285e-05,0.693011886370233,"0",-0.00644832244444444,0.0335241652350047,"1"
"I2",-0.00106302359235852,0.142418624875954,"0",0.000656425,0.0102573037546765,"2",-0.0044244375,0.00122938491894486,"1"
"I3",9.57696420296894e-05,0.981537967308519,"0",0.00377222,0.0057203122482973,"2",-0.00282591455555556,0.631221820478253,"0"
"I4",-0.00199371344346791,0.175246669610141,"0",0.0016328321875,0.263872009473237,"0",-0.0145180114285714,0.028567681801513,"1"
"I5",-7.74898924978068e-05,0.454723634381281,"0",0.000352308611111111,0.566142727568169,"0",-0.011314726,0.028567681801513,"1"
"I6",0.000390960307791538,0.578076757289232,"0",0.00334426053571428,0.000715425921273752,"2",-0.01053099875,0.0763327403763572,"0"
"I7",-0.000162798979981652,0.668475866733223,"0",0.00189068181818182,0.0240810051773448,"2",-0.00784687833333333,0.117850895021365,"0"
"J1",-7.8421852693737e-05,0.299585026443382,"0",0.00119121666666667,0.0324417459213373,"2",-0.0110414758333333,0.0187411367895967,"1"
"J12",-5.02963876167579e-05,0.12491326826667,"0",7.78687500000001e-05,0.86105212381504,"0",-0.0053322175,0.0634865305607675,"0"
"J22",-0.0009270578408704,0.0293634448441876,"1",-0.0038503625,0.0802428781903364,"0",0.00546565,0.012266061386213,"2"
"J8",-0.000383073231646907,0.00281529318555854,"1",0.0002458,0.0133475759268432,"2",-0.00982805875,0.00249902885761126,"1"
"J9",-0.000190548864585866,0.295643103821332,"0",-0.00162840625,0.000184835411382139,"1",-0.010022870625,0.00122938491894486,"1"
"K1",-0.00428229621593275,0.107295600333386,"0",NA,NA,NA,0.000795746666666666,0.720514787136255,"0"
"K2",-0.00136136732907597,0.287836747765798,"0",NA,NA,NA,NA,NA,NA
"K3",-0.00017020332015653,0.545068559402387,"0",0.00155419333333333,0.0717422189333317,"0",-0.00778009714285714,0.00609054605657882,"1"
"K4",0,NA,NA,NA,NA,NA,-0.000737525335494733,0.0148148298174852,"1"
"L1",-5.51663809777735e-05,0.464652286096103,"0",NA,NA,NA,NA,NA,NA
"L2",-3.19054652880354e-05,0.15815715507663,"0",0.015475725,0.0315407287497491,"2",-0.01457002,0.00686379498544904,"1"
"L3",-0.000489342024470311,0.706440493905667,"0",0.0302767,0.0127313642699235,"2",-0.0396005055714286,0.00443400830310065,"1"
"L3A",-0.00130850444464908,0.392093860806704,"0",0.0335110605,0.107762290391921,"0",-0.0410043766666667,0.0241705471745452,"1"
"L4",-0.00670226579685114,0.0231016378693707,"1",0.0253760275,0.000346619351134667,"2",-0.0159105985714286,0.00937476845943489,"1"
"L5",0,NA,NA,NA,NA,NA,NA,NA,NA
"M5",-0.002374014911764,0.0938696108478139,"0",0,0.604571147724783,"0",-0.0024785,0.0699674482984456,"0"
"M6",0,NA,NA,0,0.220671361919847,"0",0,NA,NA
"N1",-0.00317112517381781,0.121522347237698,"0",0.00563990357674,0.00329498370452415,"2",-0.00959890439626331,0.0164886567276701,"1"
"N3",-0.00111031788023818,0.101410567310831,"0",0.00274467986842468,0.241287944501649,"0",-0.016020492662558,0.0187411367895967,"1"
"N3A",-0.0015483964158605,0.225883406848202,"0",0.00153349668882033,0.239973925528842,"0",-0.0225774534094613,0.00122938491894486,"1"
"N4",-0.00256240432699177,0.0190276749951617,"1",0.0014782935821665,4.31402072226626e-06,"2",-0.00932835724169489,0.243034960294523,"0"
"N5",-0.000679536352045219,0.557143698715348,"0",0.0031226593697275,8.8763489776864e-05,"2",-0.0095988837838394,0.0763327403763572,"0"
"N6",-0.000983408908053939,0.0322230365313673,"1",NA,NA,NA,-0.0265668137608515,0.00487856447503363,"1"
"P1",-0.0168095151436116,0.0191722707142283,"1",0.0680124331110967,0.0476039547278715,"2",-0.026755820240133,0.707114231289961,"0"
"P2",-0.00371594185253387,0.44089024381211,"0",0.0334757407111444,0.000785836621693177,"2",-0.0627012948605886,0.0432627278069107,"1"
"P3",-0.00330228899003238,0.268756726524315,"0",NA,NA,NA,NA,NA,NA
"P4",-0.0140916250953951,0.0107185828553791,"1",NA,NA,NA,-0.0108145775203281,0.220671361919847,"0"
"P5",-0.00121587272969664,0.173659662031869,"0",NA,NA,NA,-0.032145810544558,0.0432627278069107,"1"
"R1",-0.000732300689602788,0.0114849186154067,"1",6.16048235003214e-05,0.620789698936712,"0",-0.00654020324622928,0.0187411367895967,"1"
"R2",-0.000830430157515876,0.168368990733944,"0",0.00449421352670577,0.0251509343880066,"2",-0.0190376377120307,0.000836627131119304,"1"
"R3",-3.47398110495296e-05,0.954028287158653,"0",0.003805090383365,0.0117701645110435,"2",-0.019229369277965,0.00443400830310065,"1"
"R4",-0.000389759055396832,0.235744148486977,"0",0,0.102959564767238,"0",-0.010245966241865,0.00420755128549175,"1"
