"quadrat","slope_50","pvalue_50","significant_50","slope_60","pvalue_60","significant_60","slope_95","pvalue_95","significant_95"
"A1",0,NA,NA,0.000417159848484849,0.00469673471204347,"2",3.43124079853815e-07,0.982699548963937,"0"
"A2",-0.010900895,0.00937476845943489,"1",0.0012580325,0.23395283347059,"0",NA,NA,NA
"A3",-0.003735,0.00394775185690345,"1",0,0.00116997548934363,"0",0.000747143927628462,0.509315677231989,"0"
"A4",-0.00049771,0.0116027128644074,"1",6.11694444444444e-05,0.000928756568264507,"2",0.000620656938625876,0.539952010832871,"0"
"A5",-0.00550208333333333,0.00198178943780992,"1",0.00092825,0.00636091592055486,"2",0.000725054142257015,0.551048302604685,"0"
"AR1",-0.000481493333333333,0.016423747393488,"1",0,1,"0",0.000148927429762128,0.545862963947806,"0"
"AR2",0,0.635256295997248,"0",0,NA,NA,0.000253567613803428,0.558805713368163,"0"
"AR3",0,NA,NA,0,0.0197971519287187,"0",0.000224793448013034,0.558690646879169,"0"
"AR4",-0.0006785,0.000781955319219701,"1",0,0.716223041105687,"0",8.62654586164508e-05,0.471214177289398,"0"
"AR5",0,NA,NA,0,0.152777945470135,"0",0.000229919112020323,0.446554530810883,"0"
"AR6",0,NA,NA,0,0.432028774573647,"0",0.000291401214554314,0.919562765717829,"0"
"B1",-0.0013099375,0.00443400830310065,"1",0,0.761517618273353,"0",5.11800442840675e-05,0.194519202259165,"0"
"B2",0,NA,NA,5.4122e-05,0.296420406320613,"0",0.0010000907000094,0.249596780598473,"0"
"B2A",0,NA,NA,0,NA,NA,6.37030832788664e-05,0.202139067441189,"0"
"B3",0,NA,NA,4.2625e-05,0.0501535709597375,"0",1.75805024973364e-06,0.982699548963936,"0"
"B4",-0.00504465625,0.265510388953874,"0",0.00198599875,0.324423690521579,"0",0.000298682398886126,0.489675227306396,"0"
"B5",NA,NA,NA,0.00021274,0.699987516566847,"0",0.000369950495703983,0.053740608877547,"0"
"G1",0,0.0162163284475037,"0",0.00112455,0.00322854899230776,"2",-9.6902889405473e-05,0.416256575387132,"0"
"G2",-0.00235891666666667,0.0210979717247784,"1",0.00251268461538462,0.00127917284627447,"2",-0.000594904034632033,0.180270751008984,"0"
"G3",0,0.912770619096562,"0",0,0.804787676777998,"0",2.64454945026239e-06,0.993083074055344,"0"
"G4",0,0.561275836134578,"0",0.0004776,0.000513440597457511,"2",-0.000132260421003491,0.398056869677745,"0"
"G5",-0.000391731696428571,0.0449385960334345,"1",0,0.0291229541523851,"0",6.54469088645609e-05,0.625762640993773,"0"
"G6",-0.00016835,0.78202138742191,"0",0.00221256538461538,0.0561808372321371,"0",-0.000165464291493336,0.774959487830435,"0"
"H1",-0.00397971357142857,0.00224139403933306,"1",5.51497252747253e-05,0.0345323893648858,"2",-9.20552978043319e-05,0.415036107704365,"0"
"H2",-0.000551554666666667,0.0416013106415154,"1",-1.05e-05,0.269496129451813,"0",0.000115143545355255,0.528539962515066,"0"
"H3",-0.000307690476190476,0.0116027128644074,"1",0.000135859,0.137394825855801,"0",7.35043943014985e-05,0.198961356365993,"0"
"I1",-0.00166123476190476,0.00632294769581094,"1",0,0.0359132072466421,"0",0,NA,NA
"I2",-0.00184675,0.00487856447503363,"1",0.0006623,0.0102573037546765,"2",-0.000701827463716792,0.33246312572675,"0"
"I3",0,NA,NA,0,NA,NA,0,NA,NA
"I4",0,NA,NA,0,0.0103220561322896,"0",0,NA,NA
"I5",-0.00169905,0.154423706117096,"0",0.000361409007352941,0.349219342794742,"0",-7.18751473010993e-05,0.415417518509878,"0"
"I6",-0.00012503125,0.52321709778149,"0",0.00334426053571428,0.000951297214058307,"2",0.00038907699907662,0.580357075771335,"0"
"I7",0,NA,NA,0.0002529,0.0187222662879849,"2",0.000159545956663286,0.66131354890323,"0"
"J1",0,0.190430263825524,"0",0.000744,0.0693655043124422,"0",-7.54963207788434e-05,0.311927258542799,"0"
"J12",0,0.190430263825524,"0",-0.0005125,0.310009041817792,"0",-2.14370181754645e-05,0.370620524980018,"0"
"J22",0.000931642857142857,0.0193795045235241,"2",-0.000451414705882353,0.207981930651142,"0",-9.02812105765745e-05,0.153604805183179,"0"
"J8",-0.0025590625,0.117850895021365,"0",0,0.0780125427570189,"0",-0.000383073231646908,0.0310193558580204,"1"
"J9",0,NA,NA,0,NA,NA,5.89500005584503e-05,0.543274280799855,"0"
"K1",-0.0006228125,0.0232316664149768,"1",NA,NA,NA,5.36682429761454e-20,0.999999999999995,"0"
"K2",NA,NA,NA,NA,NA,NA,-7.46023282875885e-05,0.159372315573797,"0"
"K3",-0.00154811666666667,0.00508587089638419,"1",0.000916721428571429,0.109450675413221,"0",-0.00017020332015653,0.545068559402387,"0"
"K4",0,0.190430263825524,"0",NA,NA,NA,0,NA,NA
"L1",NA,NA,NA,NA,NA,NA,-5.51663809777735e-05,0.464652286096103,"0"
"L2",-0.0006268,0.0940448018857267,"0",0.015475725,0.0315407287497491,"2",-3.19054652880354e-05,0.15815715507663,"0"
"L3",0,NA,NA,0,NA,NA,0,NA,NA
"L3A",0,NA,NA,0,NA,NA,0,NA,NA
"L4",-0.000953470833333333,0.00609054605657882,"1",0,NA,NA,0,NA,NA
"L5",NA,NA,NA,NA,NA,NA,0,NA,NA
"M5",0,NA,NA,0,NA,NA,2.13058889409058e-19,0.999999999999995,"0"
"M6",0,NA,NA,0,NA,NA,0,NA,NA
"N1",0,NA,NA,0.00119206264671324,4.11981751291282e-06,"2",-0.000971351953236717,0.15815715507663,"0"
"N3",0,0.190430263825524,"0",0.00274467986842468,0.241287944501649,"0",-0.000931986919012228,0.102484115530826,"0"
"N3A",-3.7887810210375e-05,0.299769062569179,"0",0.00115377785483171,0.343321639843501,"0",-0.000395380378473013,0.128354788849699,"0"
"N4",0,NA,NA,0,0.000587432962330874,"0",-0.0025624227908027,0.0190914548581135,"1"
"N5",0,NA,NA,0.000603003335076444,8.25956093491861e-05,"2",0.000172554808489062,0.556466837707433,"0"
"N6",0,NA,NA,NA,NA,NA,-0.000351069936218914,0.240135148408452,"0"
"P1",-0.000205767509183,1,"0",0,0.616154944646757,"0",-0.00186716016948889,0.321044537423596,"0"
"P2",0,NA,NA,0.00621123500217167,0.00124696949743514,"2",0.00114789947456921,0.734825031602125,"0"
"P3",NA,NA,NA,NA,NA,NA,-0.004192906610775,0.164463262614903,"0"
"P4",0,NA,NA,NA,NA,NA,0,NA,NA
"P5",-0.00632439851656008,0.312216388343319,"0",NA,NA,NA,-0.00121587272969664,0.173824503935075,"0"
"R1",0,NA,NA,0,0.279237649824039,"0",-0.000125276379874298,0.15815715507663,"0"
"R2",0,0.190430263825524,"0",0.00375686333056683,0.00136572769326307,"2",-0.000826846128595021,0.155957991262144,"0"
"R3",-0.0003926771252831,0.536186771900174,"0",0.00368699865148664,0.00512856360569957,"2",2.77687603861653e-06,0.996346990614132,"0"
"R4",0,0.0343900442235703,"0",0,0.237439319673806,"0",6.76699551166864e-05,0.662181386896788,"0"
"T1",NA,NA,NA,0,NA,NA,0,NA,NA
"T10",NA,NA,NA,0,NA,NA,1.84638109305788e-08,0.982699548963936,"0"
"T11",NA,NA,NA,0,NA,NA,0,NA,NA
"T2",NA,NA,NA,0,NA,NA,0,NA,NA
"T3",NA,NA,NA,0,NA,NA,0,NA,NA
"T4",NA,NA,NA,0,NA,NA,0,NA,NA
"T5",NA,NA,NA,0,NA,NA,0,NA,NA
"T6",NA,NA,NA,0,NA,NA,0,NA,NA
"T7",NA,NA,NA,0,NA,NA,-4.50155100487361e-07,0.985646146398519,"0"
"T8",NA,NA,NA,0,NA,NA,0,NA,NA
