originalName,oldspeciescode,newName,newspeciescode,
Aristida pansa,ARPA9,Aristida spp.,ARIST,PerennialGrass
Aristida purpurea,ARPU9,Aristida spp.,ARIST,PerennialGrass
Aristida purpurea v. longiseta,ARPUL,Aristida spp.,ARIST,PerennialGrass
Cyperus retroflexus,CYRE14,Cyperus spp.,CYPER,Perennial Grass
Ephedra torreyana,EPTO,Ephedra spp.,EPHED,Shrub
Ephedra trifurca,EPTR,Ephedra spp.,EPHED,Shrub
Sporobolus contractus,SPCO4,Sporobolus spp.,SPORO,PerennialGrass
Sporobolus cryptandrus,SPCR,Sporobolus spp.,SPORO,PerennialGrass
Sporobolus flexuosus,SPFL2,Sporobolus spp.,SPORO,
Sporobolus airoides,SPAI,Sporobolus spp.,SPORO,
