quad1,quad2,dist
L3,L3A,0
AR5,AR6,11.19867391
Y1,Y2,14.21756713
PSG7,PSG8,16.83769222
S3,S4,17.29111159
PSG1,PSG2,17.91926383
PSG5,PSG6,18.38360298
PSG3,PSG4,19.11776643
PSG10,PSG9,21.79848398
PSG10,PSG11,23.16128716
J1,J12,35.00606525
PSG4,PSG5,38.21637802
PSG11,PSG9,39.10046202
PSG3,PSG5,40.13900672
M5,M6,44.3859124
PSG11,PSG12,44.38655023
PSG4,PSG6,46.18142304
PSG3,PSG6,54.16726364
S1,S2,57.3475761
PSG10,PSG12,59.61395804
PSG12,PSG9,60.17319454
N3,N3A,60.79042207
PSG10,PSG8,61.51432952
PSG8,PSG9,63.37261723
PSG2,PSG3,63.66114537
J9,R1,64.76131778
PSG2,PSG4,70.51620616
PSG6,PSG7,73.07884764
PSG7,PSG9,76.88353132
PSG10,PSG7,77.47468977
PSG1,PSG3,80.52392271
G3,G6,81.60057571
PSG5,PSG7,82.91432619
PSG11,PSG8,83.00593174
K3,PSG9,84.45024194
PSG1,PSG4,85.40848471
K3,PSG7,88.09435358
PSG6,PSG8,89.21829419
K3,PSG8,90.79052985
N1,N4,94.46595661
V3,V4,95.45359574
PSG5,PSG8,97.88422882
PSG11,PSG7,99.42668182
PSG2,PSG5,103.6423334
K3,PSG10,103.8110634
K3,PSG13,110.9076007
MG5,MG7,113.0387039
PSG2,PSG6,115.8443943
PSG4,PSG7,118.8235307
I6,I7,119.6058711
PSG1,PSG5,120.1387395
PSG12,PSG8,120.1948868
J22,J9,120.3009881
PSG3,PSG7,122.9880999
K3,PSG11,123.550704
K3,PSG6,127.7720223
MG2,MG6,130.32351
PSG1,PSG6,131.3778969
K3,PSG12,132.7394709
PSG4,PSG8,134.5593668
PSG12,PSG7,135.3003686
PBR1,PBR2,137.0573801
PSG13,PSG6,137.4805644
PSG3,PSG8,137.6813615
Y3,Y7,142.1796471
K3,PSG5,145.0135224
PSG6,PSG9,148.7865046
PSG10,PSG6,150.5335767
PSG13,PSG4,151.6739927
PSG13,PSG5,154.0108845
PSG13,PSG7,156.9737313
PSG10,PSG5,159.3082991
AR2,AR3,159.4789622
PSG5,PSG9,159.7462933
K3,PSG4,168.7835863
PSG13,PSG8,169.7185561
PSG13,PSG3,170.4113468
PSG11,PSG6,172.2184901
PSG14,PSG2,178.4498785
PSG11,PSG5,180.0796701
K3,PSG3,181.1330466
PSG1,PSG14,181.5047497
J22,R1,184.2865949
PSG2,PSG7,186.5566596
PSG13,PSG9,191.3143268
PSG4,PSG9,194.9286637
PSG10,PSG4,196.0610112
PSG10,PSG3,198.9187062
PSG3,PSG9,199.8528297
AR1,AR2,201.1221249
PSG2,PSG8,201.342278
