quadrat,transition_type,grass_extirpation,shrub_appearance,note
A1,Grass_Shrub,1952_1957,1952_1957,
A2,Grass_Mixed_Shrub,1932_1937,1917_1922,possible error
A3,Grass_Shrub,1977_1995,1977_1995,
A4,Grass_Mixed_Shrub,1977_1995,1952_1957,
A5,Grass_Shrub,1952_1957,1952_1957,
AR1,Grass_Bare_Shrub,1947_1952,1962_1967,
AR2,Grass_Bare,1952_1957,NA,
AR3,Grass_Bare_Shrub,1942_1947,1977_1995,
AR4,Grass_Bare_Shrub,1947_1952,1977_1995,
AR5,Grass_Bare_Shrub,1947_1952,1952_1957,
AR6,Grass_Bare_Shrub,1932_1937,1947_1952,
B1,Grass,NA,NA,
B2,Grass,NA,NA,
B2A,Grass_Shrub,2011_2016,2011_2016,
B3,Grass_Mixed_Shrub,2011_2016,2006_2011,
B4,Grass_Bare,2011_2016,NA,
B5,Grass_Shrub,1977_1995,1977_1995,
G1,Grass_Bare,2006_2011,NA,
G2,Grass_Bare,1995_2001,NA,
G3,Grass_Shrub,1942_1947,1942_1947,
G4,Grass_Bare,1977_1995,NA,
G5,Grass_Bare,1947_1952,NA,
G6,Grass_Bare,2006_2011,NA,
H1,Grass_Bare,2011_2016,NA,
H2,Grass_Mixed_Shrub,1995_2001,1977_1995,
H3,Grass_Shrub,1977_1995,1977_1995,
I1,Grass_Bare_Shrub,1967_1972,2006_2011,
I2,Grass_Bare,2006_2011,NA,
I3,Grass,NA,NA,
I4,Grass_Mixed_Shrub,2006_2011,2001_2006,
I5,Grass_Bare,1977_1995,NA,
I6,Grass_Bare,2011_2016,NA,
I7,Grass_Shrub,1977_1995,1997_1995,
J1,Grass_Shrub,1977_1995,1977_1995,
J8,Grass_Bare_Shrub,1977_1995,2006_2011,
J9,Grass_Bare,1967_1972,NA,
J12,Grass_Bare,1977_1995,NA,
J22,Grass_Shrub,2001_2006,2001_2006,
K1,Grass_Shrub_Grass,NA,NA,weird data
K2,Grass_Shrub,2001_2006,2001_2006,
K3,Grass_Shrub,1977_1995,1977_1995,
K4,Grass_Shrub,1932_1995,1932_1995,data gap
L1,Grass_Bare,1967_1977,NA,data gap
L2,Grass_Bare,1977_1995,NA,
L3,Grass,NA,NA,
L4,Grass_Bare,2011_2016,NA,
L5,Grass_Bare,1917_1922,NA,
M5,Grass_Bare,2001_2006,NA,
M6,Grass_Bare,1977_1995,NA,
N1,Grass,NA,NA,
N3,Grass_Bare,2011_2016,NA,
N3A,Grass_Shrub,2001_2006,2001_2006,
N4,Grass_Bare,2001_2006,NA,
N5,Grass_Shrub,1977_1995,1977_1995,
N6,Grass_Bare,2006_2011,NA,
P1,Grass,NA,NA,
P2,Grass,NA,NA,
P3,Grass,NA,NA,
P4,Grass,NA,NA,
P5,Grass_Bare_Shrub,1947_1972,1972_1995,data gaps
R1,Grass_Bare,2001_2006,NA,
R2,Grass_Bare,2006_2011,NA,
R3,Grass_Bare,2006_2011,NA,
R4,Grass_Bare,2001_2006,NA,
T1,Grass,NA,NA,
T2,Grass_Mixed_Shrub,2006_2011,1942_1972,data gaps
T3,Grass,NA,NA,
T4,Grass,NA,NA,
T5,Grass,NA,NA,
T6,Grass,NA,NA,
T7,Grass,NA,NA,
T8,Grass,NA,NA,
T9,Grass_Bare,2011_2016,NA,
T10,Grass_Shrub,2011_2016,2011_2016,
T11,Grass,NA,NA,
U1,Grass_Bare_Shrub,1977_1995,2001_2006,
U2,Grass_Bare_Shrub,1977_1995,1995_2001,
U3,Grass_Shrub,1995_2001,1995_2001,
U4,Grass_Bare,2006_2011,NA,
U5,Grass,NA,NA,
V1,Grass_Bare_Shrub,1952_1957,1977_1995,
V2,Grass_Bare_Shrub,1957_1962,1977_1995,
V3,Grass_Bare,1947_1952,NA,
V4,Grass_Bare_Shrub,1962_1967,1977_1995,
V5,Grass_Bare_Shrub,1952_1957,1977_1995,possible error
V6,Grass_Bare,1942_1947,NA,
Y1,Grass_Mixed_Shrub,2001_2006,1977_1995,
Y2,Grass_Bare,2011_2016,NA,
Y3,Grass_Shrub,1942_1995,1942_1995,data gaps
Y7,Grass_Mixed_Shrub,2006_2011,1942_1995,data gaps
